,mater,pater,frater,soror,nouerca,priuignus,amita,matertera,nurrus,filius,filia,auia,auus,auunculus,patruus,gener,nurus,uxor,maritus,coniux,coniunx,concubinus,contubernalis,parens,socer,conubium,matrimonium,Person M,Person W,Person N,Gesamt
incomparabilis,4,4,2,2,0,0,0,0,0,15,6,0,0,0,0,0,0,8,24,0,92,0,0,0,0,0,0,35,0,0,192
pientissimus,183,1,3,39,0,0,1,0,0,28,264,4,0,0,0,0,0,51,4,0,156,0,1,21,0,0,0,58,8,0,822
pius,133,310,147,20,0,0,0,0,0,758,246,2,3,3,1,2,1,125,57,0,110,0,0,39,1,0,0,1992,157,9,4116
obsequentissimus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,3,0,0,16
dulcis,5,3,2,2,0,0,0,0,0,45,38,1,0,0,0,0,0,1,3,0,30,0,0,4,0,0,0,45,6,1,186
carus,6,20,9,6,0,0,0,0,0,106,8,0,0,0,0,0,0,6,12,0,107,0,1,8,0,0,0,93,9,2,393
carissimus,26,3,1,16,0,0,0,0,0,10,112,2,0,0,0,0,0,76,1,0,487,0,1,2,0,0,0,52,7,0,796
pudens,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4
impudens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castus,5,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,9,0,0,0,0,0,0,7,2,0,30
rarus,1,5,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,4,0,17,0,0,3,0,0,0,26,0,1,70
felix,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,1,21
clarus,2,3,1,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,259,4,3,288
fortis,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,32,0,0,39
honestus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,28,2,0,33
sollicitus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
securus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7
anxius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laetus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4,0,52
fidus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7,0,0,11
placidus,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
clemens,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7
integer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
prudens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
amabilis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
probus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18,0,0,20
frugi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
pulcher,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
lepidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,5
bonus,8,111,32,3,0,2,0,0,0,73,6,0,2,0,0,4,0,6,147,2,134,0,2,37,1,0,0,350,13,3,936
optimus,71,0,1,10,0,0,0,0,0,5,26,4,0,0,0,1,0,132,4,0,162,0,5,2,0,0,0,68,8,1,500
sapiens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
dignus,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,5,0,0,3,0,0,0,46,1,0,59
suauis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,5
