"","milites","liberti/libertae","servi/servae","sacerdotes pagani","ordo decurionum","ordo equester","ordo senatorius"
"mater","37","62","19","11","8","3","5"
"pater","84","58","18","20","37","26","3"
"frater","82","19","24","4","8","10","1"
"soror","15","24","5","5","2","1","0"
"noverca","0","0","0","0","0","0","0"
"privignus","1","1","0","0","0","0","0"
"amita","0","0","0","0","0","0","0"
"matertera","0","0","0","0","0","0","0"
"nurrus","0","0","0","0","0","0","0"
"filius","90","92","60","25","45","19","8"
"filia","33","116","45","15","15","10","4"
"avia","0","4","0","0","0","0","1"
"avus","0","0","0","0","0","0","0"
"avunculus","2","0","0","0","0","0","0"
"patruus","1","0","0","1","0","0","0"
"gener","5","1","0","0","0","2","0"
"nurus","0","0","0","0","0","0","1"
"uxor","34","96","16","11","18","13","2"
"maritus","51","43","12","12","20","8","5"
"coniux","0","2","0","0","1","0","0"
"coniunx","309","695","206","38","60","28","3"
"concubinus","0","0","0","0","0","0","0"
"contubernalis","3","11","13","0","0","0","0"
"parens","26","26","4","1","14","3","1"
"socer","1","0","0","0","1","1","0"
"conubium","0","0","0","0","0","0","0"
"matrimonium","0","0","0","0","0","0","0"
"Person M","257","818","245","63","83","42","61"
"Person W","8","43","17","8","9","4","0"
"Person N","1","1","4","0","0","0","0"
