"","milites","liberti/libertae","servi/servae","sacerdotes pagani","ordo decurionum","ordo equester","ordo senatorius","tituli sepulcrales"
"pius","233","315","186","87","98","36","7","6237"
"bonus","90","299","48","36","61","38","10","1451"
"sanctus","16","99","9","7","11","5","5","529"
"dulcis","36","100","37","6","4","7","3","1023"
"incomparabilis","28","34","2","4","17","9","4","321"
"castus","1","6","0","0","1","1","0","38"
"prudens","0","0","0","0","0","0","0","4"
"carus","145","383","118","19","27","28","8","2793"
"miser","2","8","0","0","2","0","0","38"
"rarus","33","25","5","1","17","11","1","359"
"clarus","7","5","3","3","3","3","49","75"
"felix","2","3","0","0","1","0","1","26"
"dignus","6","12","1","1","1","0","0","48"
"tristis","0","0","0","0","0","0","0","2"
"amans","5","9","6","1","1","0","0","89"
"innocens","9","5","1","2","1","2","0","73"
"iucundus","0","0","4","0","0","0","0","12"
"mereo","142","165","56","9","22","8","1","1289"
"probo","2","2","0","0","0","1","1","5"
"mero","235","577","207","27","42","11","2","3997"
"amo","1","1","1","0","0","0","0","9"
"nascor","14","10","0","4","4","1","0","84"
"afficio","0","0","0","0","0","0","0","4"
"pudens","0","0","0","0","0","0","0","6"
"doleo","1","0","0","0","1","0","0","13"
"probus","1","2","0","0","1","0","0","14"
"indulgentus","1","4","0","2","1","1","1","15"
"fortis","7","5","1","0","1","0","1","38"
"simplex","0","4","0","0","0","0","0","44"
"mellitus","0","0","0","0","0","0","0","2"
"fidelis","6","22","2","1","1","0","0","79"
"clemens","0","0","0","0","0","1","0","6"
"fidus","0","3","0","0","0","0","0","12"
"amabilis","0","3","0","0","0","0","0","5"
"integer","0","0","0","0","0","0","0","3"
"honestus","16","7","0","3","2","7","0","31"
"placidus","0","0","0","0","0","0","0","1"
"sollicitus","0","0","0","0","0","0","0","1"
"suavis","0","0","0","0","0","0","0","0"
"securus","0","1","1","0","1","0","0","10"
"lepidus","0","0","0","0","0","0","0","1"
"sapiens","0","0","0","0","0","0","1","4"
"modestus","0","0","0","0","0","0","0","1"
"frugi","1","2","0","0","0","0","0","4"
"studiosus","0","1","0","1","0","0","0","7"
"laetus","0","0","0","0","0","0","0","0"
"praesto","0","0","0","0","0","0","0","2"
