"","milites","liberti/libertae","servi/servae","sacerdotes pagani","ordo decurionum","ordo equester","ordo senatorius"
"mater","13","24","13","4","1","1","1"
"pater","34","26","9","9","13","9","0"
"frater","26","6","10","2","5","6","1"
"soror","6","7","2","3","1","0","0"
"noverca","0","0","0","0","0","0","0"
"privignus","0","0","0","0","0","0","0"
"amita","0","0","0","0","0","0","0"
"matertera","0","0","0","0","0","0","0"
"nurrus","0","0","0","0","0","0","0"
"filius","35","53","34","15","29","9","4"
"filia","11","33","10","9","7","2","0"
"avia","0","1","0","0","0","0","0"
"avus","0","0","0","0","0","0","0"
"avunculus","1","0","0","0","0","0","0"
"patruus","1","0","0","1","0","0","0"
"gener","1","0","0","0","0","1","0"
"nurus","0","0","0","0","0","0","0"
"uxor","4","11","8","3","1","0","0"
"maritus","8","5","4","3","0","2","1"
"coniux","0","0","0","0","0","0","0"
"coniunx","46","37","12","5","10","0","0"
"concubinus","0","0","0","0","0","0","0"
"contubernalis","0","0","0","0","0","0","0"
"parens","6","7","1","0","1","0","0"
"socer","0","0","0","0","0","0","0"
"conubium","0","0","0","0","0","0","0"
"matrimonium","0","0","0","0","0","0","0"
"Person M","37","98","75","27","27","6","0"
"Person W","4","7","6","6","3","0","0"
"Person N","0","0","2","0","0","0","0"
