"","Hispania citerior","Roma","Venetia et Histria / Regio X","Apulia et Calabria / Regio II","Transpadana / Regio XI","Lusitania","Latium et Campania / Regio I","Umbria / Regio VI","Samnium / Regio IV","Gallia Narbonensis","Dalmatia","Aquitani(c)a","Lugudunensis","Germania superior","Moesia superior","Dacia","Bruttium et Lucania / Regio III","Noricum","Picenum / Regio V","Aemilia / Regio VIII","Numidia","Mauretania Caesariensis","Raetia","Moesia inferior","Pannonia inferior","Baetica","Sicilia","Sardinia","Liguria / Regio IX","Pannonia superior","Germania inferior","Alpes Maritimae","Britannia","Mauretania Tingitana","Etruria / Regio VII","Africa proconsularis","Macedonia","Alpes Cottiae","Cappadocia","Provincia incerta","Corsica","Asia","Arabia","Thracia","Italia","Belgica | Germania superior","Palaestina","Galatia","Barbaricum","Alpes Poeninae","Belgica","Achaia","Pontus et Bithynia","Aegyptus","Syria","Alpes Graiae","Lycia et Pamphylia","Regnum Bospori","Cyprus","Cilicia"
"pius","146","948","79","49","33","148","229","44","75","178","163","5","37","6","30","37","21","38","23","29","664","99","5","22","39","180","14","26","9","46","9","8","7","34","39","2999","11","3","2","7","3","1","5","3","2","2","0","0","1","0","0","0","0","0","3","0","0","0","0","0"
"bonus","51","544","62","34","38","28","191","31","48","145","29","1","17","1","5","1","9","65","4","24","37","24","1","4","7","6","6","13","8","12","2","5","0","1","34","75","7","7","0","4","1","1","0","1","0","0","0","0","0","1","4","3","0","0","0","0","0","0","0","0"
"sanctus","10","291","13","11","6","4","66","18","12","19","10","3","12","3","0","1","2","0","8","9","10","6","1","0","1","3","3","2","2","1","2","0","3","0","13","23","1","1","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"dulcis","7","592","22","29","5","3","165","13","21","14","26","2","25","7","6","1","12","1","8","15","39","20","1","0","6","0","4","8","1","10","7","4","0","0","24","27","1","1","1","3","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0"
"incomparabilis","4","84","18","6","5","3","57","7","8","28","24","1","17","7","1","1","1","0","4","9","11","4","2","0","2","2","1","1","1","4","5","4","1","0","4","13","1","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"castus","0","13","1","1","0","0","4","2","0","1","3","0","0","0","1","0","0","0","2","1","4","0","0","1","0","1","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"prudens","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"carus","58","1299","83","39","55","11","213","43","45","104","69","20","76","12","14","15","27","58","12","23","193","58","14","13","37","85","4","16","13","54","9","10","12","3","60","168","6","2","0","12","1","4","1","2","1","3","0","2","0","3","8","1","4","1","1","1","2","0","0","0"
"miser","1","10","1","3","0","0","4","1","2","2","7","0","2","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"rarus","4","61","10","6","2","2","28","4","6","15","21","2","8","3","4","2","2","1","3","9","112","8","3","0","4","0","2","2","1","6","1","1","0","0","4","41","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
