,Hispania citerior,Lusitania,Gallia Narbonensis,Dalmatia,Aquitani(c)a,Lugudunensis,Germania superior,Moesia superior,Dacia,Noricum,Numidia,Mauretania Caesariensis,Raetia,Moesia inferior,Pannonia inferior,Baetica,Sicilia,Sardinia,Pannonia superior,Germania inferior,Alpes Maritimae,Britannia,Mauretania Tingitana,Africa proconsularis,Macedonia,Alpes Cottiae,Cappadocia,Provincia incerta,Corsica,Asia,Arabia,Thracia,Belgica | Germania superior,Palaestina,Galatia,Barbaricum,Alpes Poeninae,Belgica,Achaia,Pontus et Bithynia,Aegyptus,Syria,Alpes Graiae,Lycia et Pamphylia,Regnum Bospori,Cyprus,Cilicia,Gesamt
pius,146,148,178,163,5,37,6,30,37,38,664,99,5,22,39,180,14,26,46,9,8,7,34,2999,11,3,2,7,3,1,5,3,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4981
bonus,51,28,145,29,1,17,1,5,1,65,37,24,1,4,7,6,6,13,12,2,5,0,1,75,7,7,0,4,1,1,0,1,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,565
sanctus,10,4,19,10,3,12,3,0,1,0,10,6,1,0,1,3,3,2,1,2,0,3,0,23,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,122
dulcis,7,3,14,26,2,25,7,6,1,1,39,20,1,0,6,0,4,8,10,7,4,0,0,27,1,1,1,3,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,228
incomparabilis,4,3,28,24,1,17,7,1,1,0,11,4,2,0,2,2,1,1,4,5,4,1,0,13,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,141
castus,0,0,1,3,0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
prudens,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
carus,58,11,104,69,20,76,12,14,15,58,193,58,14,13,37,85,4,16,54,9,10,12,3,168,6,2,0,12,1,4,1,2,3,0,2,0,3,8,1,4,1,1,1,2,0,0,0,1167
miser,1,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
rarus,4,2,15,21,2,8,3,4,2,1,112,8,3,0,4,0,2,2,6,1,1,0,0,41,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,246
clarus,2,2,1,1,2,0,0,2,0,0,5,2,0,1,2,1,0,0,0,0,0,1,2,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
felix,0,1,0,1,0,0,0,1,0,0,4,2,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
dignus,0,0,0,0,0,0,0,0,1,0,7,6,0,0,1,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
tristis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
amans,3,1,2,0,1,5,0,1,0,0,18,3,0,0,0,0,0,1,1,0,1,0,0,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
innocens,3,0,2,3,0,3,0,0,2,2,15,4,1,0,0,0,0,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44
iucundus,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
mereo,15,12,3,154,0,2,3,67,71,1,51,18,1,40,9,10,6,12,11,0,1,0,2,21,6,0,1,1,1,3,0,3,0,1,0,0,0,0,0,1,5,3,0,1,1,0,0,537
probo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mero,41,12,8,102,1,3,1,35,21,1,159,29,1,37,8,5,13,52,2,1,3,1,3,24,8,0,0,16,1,2,1,0,0,2,2,0,0,0,2,2,0,1,1,0,1,1,1,604
amo,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
nascor,1,0,1,5,0,1,1,1,1,0,1,1,0,1,0,2,0,0,3,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,25
afficio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
