"","Hispania citerior","Roma","Venetia et Histria / Regio X","Apulia et Calabria / Regio II","Transpadana / Regio XI","Lusitania","Latium et Campania / Regio I","Umbria / Regio VI","Samnium / Regio IV","Gallia Narbonensis","Dalmatia","Aquitani(c)a","Lugudunensis","Germania superior","Moesia superior","Dacia","Bruttium et Lucania / Regio III","Noricum","Picenum / Regio V","Aemilia / Regio VIII","Numidia","Mauretania Caesariensis","Raetia","Moesia inferior","Pannonia inferior","Baetica","Sicilia","Sardinia","Liguria / Regio IX","Pannonia superior","Germania inferior","Alpes Maritimae","Britannia","Mauretania Tingitana","Etruria / Regio VII","Africa proconsularis","Macedonia","Alpes Cottiae","Cappadocia","Provincia incerta","Corsica","Asia","Arabia","Thracia","Italia","Belgica | Germania superior","Palaestina","Galatia","Barbaricum","Alpes Poeninae","Belgica","Achaia","Pontus et Bithynia","Aegyptus","Syria","Alpes Graiae","Lycia et Pamphylia","Regnum Bospori","Cyprus","Cilicia"
"pius","3.03","1.00","1.57","0.79","1.42","4.91","1.01","1.28","1.46","2.53","1.96","0.97","1.31","0.91","1.35","1.82","0.93","1.65","1.81","1.16","3.69","2.58","1.22","1.36","2.50","4.57","1.96","1.45","1.31","2.20","1.62","1.64","1.65","5.47","0.86","6.54","1.77","1.62","3.03","1.15","2.84","0.50","4.20","2.52","3.03","2.52","0.00","0.00","3.78","0.00","0.00","0.00","0.00","0.00","2.52","0.00","0.00","0.00","0.00","0.00"
"bonus","1.85","1.00","2.15","0.96","2.85","1.62","1.47","1.57","1.63","3.59","0.61","0.34","1.05","0.26","0.39","0.09","0.69","4.92","0.55","1.67","0.36","1.09","0.43","0.43","0.78","0.27","1.46","1.26","2.03","1.00","0.63","1.78","0.00","0.28","1.31","0.29","1.96","6.59","0.00","1.15","1.65","0.88","0.00","1.46","0.00","0.00","0.00","0.00","0.00","2.64","2.64","6.59","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"sanctus","0.68","1.00","0.84","0.58","0.84","0.43","0.95","1.70","0.76","0.88","0.39","1.90","1.39","1.48","0.00","0.16","0.29","0.00","2.05","1.17","0.18","0.51","0.79","0.00","0.21","0.25","1.37","0.36","0.95","0.16","1.17","0.00","2.31","0.00","0.93","0.16","0.52","1.76","0.00","0.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.46","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"dulcis","0.23","1.00","0.70","0.75","0.34","0.16","1.17","0.60","0.65","0.32","0.50","0.62","1.42","1.70","0.43","0.08","0.85","0.07","1.01","0.96","0.35","0.84","0.39","0.00","0.62","0.00","0.90","0.71","0.23","0.77","2.02","1.31","0.00","0.00","0.85","0.09","0.26","0.87","2.42","0.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.02","6.06","0.00","0.61","0.00","0.00","1.10","0.00","0.00","0.00","0.00","0.00","0.00"
"incomparabilis","0.94","1.00","4.04","1.09","2.42","1.12","2.84","2.29","1.76","4.49","3.26","2.19","6.81","11.95","0.51","0.55","0.50","0.00","3.56","4.06","0.69","1.18","5.51","0.00","1.45","0.57","1.58","0.63","1.64","2.16","10.16","9.23","2.67","0.00","1.00","0.32","1.82","0.00","17.07","0.00","10.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.07","4.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"castus","0.00","1.00","1.45","1.18","0.00","0.00","1.29","4.23","0.00","1.04","2.63","0.00","0.00","0.00","3.28","0.00","0.00","0.00","11.49","2.92","1.62","0.00","0.00","4.52","0.00","1.85","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.61","0.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"prudens","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","33.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.14","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"carus","0.88","1.00","1.21","0.46","1.72","0.27","0.69","0.91","0.64","1.08","0.61","2.83","1.97","1.32","0.46","0.54","0.87","1.84","0.69","0.67","0.78","1.10","2.49","0.59","1.73","1.57","0.41","0.65","1.38","1.89","1.18","1.49","2.07","0.35","0.97","0.27","0.70","0.79","0.00","1.44","0.69","1.47","0.61","1.23","1.10","2.76","0.00","1.84","0.00","3.31","2.21","0.92","3.15","0.50","0.61","2.76","2.76","0.00","0.00","0.00"
"miser","1.97","1.00","1.89","4.59","0.00","0.00","1.68","2.75","3.69","2.70","7.99","0.00","6.73","0.00","0.00","0.00","4.19","0.00","7.47","3.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.21","15.26","0.00","0.00","15.59","0.00","0.00","0.00","0.00","0.00","119.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"rarus","1.29","1.00","3.09","1.50","1.34","1.03","1.92","1.80","1.81","3.31","3.93","6.03","4.41","7.05","2.80","1.53","1.37","0.68","3.67","5.60","9.67","3.24","11.37","0.00","3.98","0.00","4.35","1.73","2.26","4.46","2.80","3.18","0.00","0.00","1.37","1.39","2.50","0.00","0.00","0.00","0.00","0.00","13.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
