"","0","50","100","150","200","250","undatiert"
"pius","16","53","109","114","259","202","1211"
"bonus","6","39","79","52","89","35","218"
"sanctus","11","20","37","28","83","58","189"
"dulcis","6","20","56","61","174","122","407"
"incomparabilis","0","0","4","11","32","24","94"
"castus","0","1","3","2","3","3","14"
"prudens","0","0","0","0","0","0","1"
"carus","29","96","181","146","285","199","936"
"miser","1","3","3","2","0","1","5"
"rarus","2","3","5","8","23","27","149"
"clarus","0","0","0","0","0","0","3"
"felix","0","0","0","0","0","1","0"
"dignus","0","1","3","2","4","3","6"
"tristis","0","0","0","0","1","0","0"
"amans","1","3","3","3","6","6","34"
"innocens","0","1","2","2","1","7","21"
"iucundus","0","0","2","0","0","2","2"
"mereo","0","19","37","34","97","93","120"
"probo","0","0","0","0","0","0","1"
"mero","5","20","63","47","129","83","277"
"amo","0","1","0","0","0","0","1"
"nascor","1","0","0","1","1","1","2"
"afficio","0","0","0","0","1","0","1"
"pudens","0","0","1","0","0","0","0"
"doleo","0","0","0","0","0","0","1"
"probus","1","0","0","0","0","1","0"
"indulgentus","0","0","0","0","0","0","0"
"fortis","0","0","0","1","0","0","0"
"simplex","0","0","0","0","4","0","4"
"mellitus","0","0","0","0","0","0","0"
"fidelis","1","4","6","1","1","3","18"
"clemens","0","0","0","0","0","0","0"
"fidus","0","0","0","0","2","0","0"
"amabilis","0","0","0","0","0","0","0"
"integer","0","0","0","0","0","0","1"
"honestus","0","0","0","0","2","1","0"
"placidus","0","0","1","0","0","0","0"
"sollicitus","0","1","0","0","0","0","0"
"suavis","0","0","0","0","0","0","0"
"securus","0","0","0","0","0","0","0"
"lepidus","0","0","0","0","0","0","0"
"sapiens","0","0","0","0","0","1","0"
"modestus","0","0","0","0","0","0","0"
"frugi","0","0","0","0","0","0","0"
"studiosus","0","0","0","0","0","0","0"
"laetus","0","0","0","0","0","0","0"
"praesto","0","0","0","0","0","0","0"
