"","0","50","100","150","200","250","undatiert"
"pius","22","80","200","169","336","293","3031"
"bonus","9","58","114","91","193","76","413"
"sanctus","2","3","12","5","20","13","53"
"dulcis","0","4","10","9","18","15","71"
"incomparabilis","1","1","3","3","21","19","47"
"castus","1","1","0","0","1","0","5"
"prudens","0","0","0","0","0","0","3"
"carus","17","62","80","57","106","96","432"
"miser","1","4","4","1","5","0","7"
"rarus","1","3","4","6","15","8","57"
"clarus","0","1","0","1","4","12","20"
"felix","0","0","1","1","2","3","15"
"dignus","0","1","1","4","2","3","13"
"tristis","0","0","0","0","0","0","1"
"amans","0","4","3","2","2","2","24"
"innocens","0","0","2","2","0","3","13"
"iucundus","0","0","0","0","2","0","2"
"mereo","14","39","49","78","160","99","314"
"probo","1","0","0","0","1","1","0"
"mero","26","111","405","282","802","371","1334"
"amo","0","0","1","0","0","0","4"
"nascor","4","4","1","2","6","0","17"
"afficio","0","0","0","0","1","1","0"
"pudens","0","1","0","0","0","0","1"
"doleo","0","0","1","0","3","1","5"
"probus","0","1","0","0","2","0","7"
"indulgentus","0","1","1","2","2","1","11"
"fortis","0","1","2","1","7","4","22"
"simplex","0","6","2","2","6","6","18"
"mellitus","0","0","0","0","0","0","2"
"fidelis","4","5","5","5","8","4","10"
"clemens","0","1","0","1","2","2","2"
"fidus","2","2","0","0","1","0","4"
"amabilis","2","0","0","0","1","0","2"
"integer","0","0","0","0","0","0","3"
"honestus","0","0","0","3","2","4","12"
"placidus","0","0","0","0","0","0","0"
"sollicitus","0","0","0","0","0","0","0"
"suavis","0","0","0","0","0","0","1"
"securus","0","0","2","0","0","0","7"
"lepidus","0","0","0","0","0","0","0"
"sapiens","0","0","0","0","0","0","0"
"modestus","0","0","0","0","0","0","1"
"frugi","1","0","0","1","0","0","0"
"studiosus","0","1","0","1","0","0","2"
"laetus","0","0","0","0","0","0","1"
"praesto","0","0","0","0","0","0","1"
