"","0","50","100","150","200","250","undatiert"
"pius","0.73","0.66","0.55","0.67","0.77","0.69","0.40"
"bonus","0.67","0.67","0.69","0.57","0.46","0.46","0.53"
"sanctus","5.50","6.67","3.08","5.60","4.15","4.46","3.57"
"dulcis","NaN","5.00","5.60","6.78","9.67","8.13","5.73"
"incomparabilis","0.00","0.00","1.33","3.67","1.52","1.26","2.00"
"castus","0.00","1.00","NaN","NaN","3.00","NaN","2.80"
"prudens","NaN","NaN","NaN","NaN","NaN","NaN","0.33"
"carus","1.71","1.55","2.26","2.56","2.69","2.07","2.17"
"miser","1.00","0.75","0.75","2.00","0.00","NaN","0.71"
"rarus","2.00","1.00","1.25","1.33","1.53","3.38","2.61"
"clarus","NaN","0.00","NaN","0.00","0.00","0.00","0.15"
"felix","NaN","NaN","0.00","0.00","0.00","0.33","0.00"
"dignus","NaN","1.00","3.00","0.50","2.00","1.00","0.46"
"tristis","NaN","NaN","NaN","NaN","NaN","NaN","0.00"
"amans","NaN","0.75","1.00","1.50","3.00","3.00","1.42"
"innocens","NaN","NaN","1.00","1.00","NaN","2.33","1.62"
"iucundus","NaN","NaN","NaN","NaN","0.00","NaN","1.00"
"mereo","0.00","0.49","0.76","0.44","0.61","0.94","0.38"
"probo","0.00","NaN","NaN","NaN","0.00","0.00","NaN"
"mero","0.19","0.18","0.16","0.17","0.16","0.22","0.21"
"amo","NaN","NaN","0.00","NaN","NaN","NaN","0.25"
"nascor","0.25","0.00","0.00","0.50","0.17","NaN","0.12"
"afficio","NaN","NaN","NaN","NaN","1.00","0.00","NaN"
"pudens","NaN","0.00","NaN","NaN","NaN","NaN","0.00"
"doleo","NaN","NaN","0.00","NaN","0.00","0.00","0.20"
"probus","NaN","0.00","NaN","NaN","0.00","NaN","0.00"
"indulgentus","NaN","0.00","0.00","0.00","0.00","0.00","0.00"
"fortis","NaN","0.00","0.00","1.00","0.00","0.00","0.00"
"simplex","NaN","0.00","0.00","0.00","0.67","0.00","0.22"
"mellitus","NaN","NaN","NaN","NaN","NaN","NaN","0.00"
"fidelis","0.25","0.80","1.20","0.20","0.12","0.75","1.80"
"clemens","NaN","0.00","NaN","0.00","0.00","0.00","0.00"
"fidus","0.00","0.00","NaN","NaN","2.00","NaN","0.00"
"amabilis","0.00","NaN","NaN","NaN","0.00","NaN","0.00"
"integer","NaN","NaN","NaN","NaN","NaN","NaN","0.33"
"honestus","NaN","NaN","NaN","0.00","1.00","0.25","0.00"
"placidus","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"sollicitus","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"suavis","NaN","NaN","NaN","NaN","NaN","NaN","0.00"
"securus","NaN","NaN","0.00","NaN","NaN","NaN","0.00"
"lepidus","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"sapiens","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"modestus","NaN","NaN","NaN","NaN","NaN","NaN","0.00"
"frugi","0.00","NaN","NaN","0.00","NaN","NaN","NaN"
"studiosus","NaN","0.00","NaN","0.00","NaN","NaN","0.00"
"laetus","NaN","NaN","NaN","NaN","NaN","NaN","0.00"
"praesto","NaN","NaN","NaN","NaN","NaN","NaN","0.00"
