,mater,pater,frater,soror,noverca,privignus,amita,matertera,nurrus,filius,filia,avia,avus,avunculus,patruus,gener,nurus,uxor,maritus,coniux,coniunx,concubinus,contubernalis,parens,socer,conubium,matrimonium,Person M,Person W,Person N,Gesamt
incomparabilis,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,10,0,0,0,0,0,0,13,1,0,30
pius,15,16,8,2,0,1,0,0,0,41,7,0,0,0,1,0,0,2,0,0,9,0,0,1,0,0,0,54,2,1,160
dulcis,3,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,10,1,0,32
carus,3,1,1,2,0,0,0,0,0,10,9,0,0,0,0,0,0,16,1,0,60,0,0,0,0,0,0,28,1,0,132
pudens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impudens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4
rarus,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,16,0,0,26
felix,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,17
clarus,0,5,1,1,0,0,0,0,0,10,7,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,363,4,2,398
fortis,2,5,1,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,44,0,0,70
honestus,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,44
sollicitus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
securus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
anxius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laetus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0,50
fidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
placidus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
clemens,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8
integer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
prudens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
amabilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
