"","milites","liberti/libertae","servi/servae","sacerdotes pagani","ordo decurionum","ordo equester","ordo senatorius"
"mater","10","2","1","2","2","1","3"
"pater","9","11","0","10","5","5","9"
"frater","2","1","0","5","1","4","1"
"soror","0","1","0","0","0","0","1"
"noverca","0","0","0","0","0","0","0"
"privignus","0","0","0","0","0","0","0"
"amita","0","0","0","0","0","0","0"
"matertera","0","0","0","0","0","0","0"
"nurrus","0","0","0","0","0","0","0"
"filius","14","12","3","8","16","11","11"
"filia","2","3","0","5","2","5","6"
"avia","0","1","0","0","1","0","0"
"avus","0","0","0","0","0","0","0"
"avunculus","0","0","0","0","0","0","0"
"patruus","1","0","0","0","0","0","0"
"gener","0","0","0","0","0","0","0"
"nurus","0","0","0","0","0","0","0"
"uxor","0","11","0","1","1","0","0"
"maritus","0","4","0","1","5","1","1"
"coniux","0","0","0","0","0","0","0"
"coniunx","13","39","10","5","6","4","1"
"concubinus","0","0","0","0","0","0","0"
"contubernalis","0","0","0","0","0","0","0"
"parens","0","2","1","0","0","0","0"
"socer","0","0","0","0","0","1","1"
"conubium","0","0","0","0","0","0","0"
"matrimonium","0","0","0","0","0","0","0"
"Person M","245","113","23","151","136","121","404"
"Person W","2","4","0","1","3","1","4"
"Person N","1","6","1","0","4","2","2"
