"","milites","liberti/libertae","servi/servae","sacerdotes pagani","ordo decurionum","ordo equester","ordo senatorius"
"mater","2","1","0","0","0","0","0"
"pater","5","2","0","3","4","3","1"
"frater","1","1","0","2","0","2","0"
"soror","0","1","0","0","0","0","0"
"noverca","0","0","0","0","0","0","0"
"privignus","0","0","0","0","0","0","0"
"amita","0","0","0","0","0","0","0"
"matertera","0","0","0","0","0","0","0"
"nurrus","0","0","0","0","0","0","0"
"filius","2","7","1","4","9","4","0"
"filia","0","1","0","0","0","0","0"
"avia","0","0","0","0","0","0","0"
"avus","0","0","0","0","0","0","0"
"avunculus","0","0","0","0","0","0","0"
"patruus","1","0","0","0","0","0","0"
"gener","0","0","0","0","0","0","0"
"nurus","0","0","0","0","0","0","0"
"uxor","0","0","0","0","0","0","0"
"maritus","0","0","0","0","0","0","0"
"coniux","0","0","0","0","0","0","0"
"coniunx","0","2","0","1","0","0","0"
"concubinus","0","0","0","0","0","0","0"
"contubernalis","0","0","0","0","0","0","0"
"parens","0","0","0","0","0","0","0"
"socer","0","0","0","0","0","0","0"
"conubium","0","0","0","0","0","0","0"
"matrimonium","0","0","0","0","0","0","0"
"Person M","7","8","0","4","1","2","4"
"Person W","0","1","0","0","0","0","0"
"Person N","0","0","0","0","0","1","0"
