"","Hispania citerior","Roma","Venetia et Histria / Regio X","Apulia et Calabria / Regio II","Transpadana / Regio XI","Lusitania","Latium et Campania / Regio I","Umbria / Regio VI","Samnium / Regio IV","Gallia Narbonensis","Dalmatia","Aquitani(c)a","Lugudunensis","Germania superior","Moesia superior","Dacia","Bruttium et Lucania / Regio III","Noricum","Picenum / Regio V","Aemilia / Regio VIII","Numidia","Mauretania Caesariensis","Raetia","Moesia inferior","Pannonia inferior","Baetica","Sicilia","Sardinia","Liguria / Regio IX","Pannonia superior","Germania inferior","Alpes Maritimae","Britannia","Mauretania Tingitana","Etruria / Regio VII","Africa proconsularis","Macedonia","Alpes Cottiae","Cappadocia","Provincia incerta","Corsica","Asia","Arabia","Thracia","Italia","Belgica | Germania superior","Palaestina","Galatia","Barbaricum","Alpes Poeninae","Belgica","Achaia","Pontus et Bithynia","Aegyptus","Syria","Alpes Graiae","Lycia et Pamphylia","Regnum Bospori","Cyprus","Cilicia"
"carus","1.30","1.00","1.10","0.74","3.47","0.00","0.60","0.00","0.90","3.04","0.62","1.86","0.00","0.45","0.00","0.00","0.00","0.00","1.39","2.48","0.00","0.00","1.86","0.00","0.00","0.74","0.00","1.24","0.00","0.37","0.00","0.00","0.56","0.00","0.63","0.24","0.00","0.00","0.00","1.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.11","0.00","0.00","0.00","0.00","0.00","0.00"
"sanctus","0.36","1.00","0.28","0.25","0.13","0.00","0.43","0.35","1.07","0.00","1.25","1.88","0.00","0.90","1.41","2.49","0.00","0.43","0.70","0.00","0.58","1.35","0.94","3.62","1.75","0.19","0.00","0.63","0.00","1.50","0.47","0.00","2.25","0.00","1.06","0.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.13","0.00","0.00","0.00","1.41","0.00","0.00","0.00","1.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"pius","3.45","1.00","1.20","1.08","2.88","6.48","1.23","1.01","1.31","2.95","0.90","2.70","0.00","0.32","1.35","1.89","2.32","0.00","0.00","1.80","0.37","1.95","0.00","0.00","0.56","4.86","1.62","0.00","5.40","1.08","0.00","5.40","2.84","0.00","0.92","0.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.48","0.00","0.00","0.00","0.00","0.00","0.00","8.11","0.00","0.00","0.00","3.24","0.00","0.00","0.00","0.00","0.00"
"indulgentus","1.90","1.00","4.40","0.00","0.00","0.00","1.45","0.00","0.00","0.00","0.00","0.00","0.00","7.13","0.00","0.00","0.00","27.44","0.00","0.00","16.21","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"incomparabilis","2.13","1.00","0.83","1.49","2.97","0.00","1.08","4.18","0.00","6.08","0.00","0.00","0.00","2.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","22.29","0.00","11.15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.55","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"rarus","1.90","1.00","8.81","0.00","0.00","0.00","2.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","50.95","0.00","0.00","19.81","6.08","14.27","0.00","0.00","0.00","0.00","0.00","39.63","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"dulcis","0.63","1.00","1.47","2.64","1.32","0.00","0.96","0.00","1.61","0.00","0.00","0.00","9.91","2.38","2.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.24","0.00","0.00","59.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23.78","0.00","0.00","0.00","0.00","0.00"
"bonus","4.63","1.00","3.07","1.38","1.38","2.49","2.25","3.50","1.68","2.26","2.76","0.00","0.00","0.75","0.52","0.00","0.00","5.74","3.11","2.76","0.42","1.99","0.00","0.30","0.00","3.32","2.49","1.38","1.38","0.83","0.00","4.15","0.00","2.07","2.58","0.54","4.98","0.00","0.00","0.00","0.00","8.29","0.00","0.00","0.00","0.00","1.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"castus","0.00","1.00","0.00","0.00","0.00","0.00","1.45","0.00","0.00","0.00","0.00","0.00","89.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","44.58","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"placidus","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
