"","0","50","100","150","200","250","undatiert"
"carus","4","15","9","6","22","11","0"
"sanctus","4","3","11","1","5","8","0"
"pius","3","2","4","5","11","3","0"
"indulgentus","0","0","0","0","0","0","0"
"incomparabilis","0","0","0","0","2","5","0"
"rarus","1","1","0","0","1","2","0"
"dulcis","1","1","1","3","4","5","0"
"bonus","2","5","4","5","8","6","0"
"castus","0","0","1","0","0","0","0"
"placidus","0","0","1","0","0","0","0"
"dignus","0","0","4","0","0","0","0"
"fortis","0","0","0","0","0","1","0"
"miser","2","0","0","0","0","0","0"
"nascor","1","0","1","0","0","0","0"
"mero","1","2","5","2","3","1","0"
"clarus","0","0","0","0","1","4","0"
"probus","0","0","0","0","0","0","0"
"felix","0","0","0","1","0","0","0"
"honestus","0","0","1","0","0","0","0"
"fidelis","0","0","1","0","0","0","0"
"mereo","0","0","5","1","3","3","0"
"clemens","0","0","0","0","0","0","0"
"lepidus","0","1","0","0","0","0","0"
"innocens","0","0","0","0","2","0","0"
"amans","0","0","0","0","0","0","0"
"tristis","0","0","0","0","0","0","0"
"simplex","0","0","0","0","0","0","0"
"laetus","0","0","0","0","1","1","0"
"studiosus","0","0","0","0","0","0","0"
"fidus","0","0","0","0","0","0","0"
"securus","0","0","0","0","0","0","0"
"integer","0","0","0","0","0","0","0"
"probatus","0","0","0","0","0","0","0"
"prudens","0","0","0","0","0","0","0"
"iucundus","0","0","0","0","0","0","0"
"probo","0","0","0","0","0","0","0"
"sapiens","0","0","0","0","0","0","0"
"amo","0","0","0","0","0","0","0"
"amabilis","0","0","1","0","0","0","0"
"afficio","0","0","0","0","0","0","0"
