"","0","50","100","150","200","250","undatiert"
"carus","4","3","9","5","12","2","0"
"sanctus","9","10","15","17","22","56","0"
"pius","9","8","24","12","28","23","0"
"indulgentus","0","0","2","3","3","1","0"
"incomparabilis","0","0","2","1","4","4","0"
"rarus","1","0","0","1","6","4","0"
"dulcis","0","0","3","0","1","1","0"
"bonus","8","24","57","25","41","31","0"
"castus","1","0","0","1","0","0","0"
"placidus","0","0","0","0","0","0","0"
"dignus","1","10","58","0","1","1","0"
"fortis","0","0","2","1","4","19","0"
"miser","0","0","1","0","0","0","0"
"nascor","3","3","1","2","4","3","0"
"mero","15","17","23","15","27","14","0"
"clarus","1","1","2","8","35","82","0"
"probus","1","2","6","2","0","0","0"
"felix","1","2","3","1","2","2","0"
"honestus","1","0","2","5","19","5","0"
"fidelis","0","2","6","3","4","5","0"
"mereo","10","10","15","3","8","11","0"
"clemens","0","1","2","0","0","3","0"
"lepidus","0","1","0","0","0","0","0"
"innocens","0","1","1","0","0","1","0"
"amans","0","0","1","0","1","0","0"
"tristis","0","0","0","0","1","0","0"
"simplex","0","0","12","28","6","0","0"
"laetus","0","0","1","3","16","18","0"
"studiosus","0","0","0","1","0","0","0"
"fidus","0","1","0","1","1","2","0"
"securus","0","1","0","0","1","0","0"
"integer","0","0","0","0","0","0","0"
"probatus","0","0","0","0","0","1","0"
"prudens","0","0","0","0","0","1","0"
"iucundus","0","0","0","2","0","0","0"
"probo","0","0","0","0","0","0","0"
"sapiens","0","0","0","0","0","1","0"
"amo","0","0","1","0","0","0","0"
"amabilis","0","0","0","0","0","0","0"
"afficio","0","0","0","0","0","0","0"
