"","0","50","100","150","200","250","undatiert"
"carus","1.00","5.00","1.00","1.20","1.83","5.50","NaN"
"sanctus","0.44","0.30","0.73","0.06","0.23","0.14","NaN"
"pius","0.33","0.25","0.17","0.42","0.39","0.13","NaN"
"indulgentus","NaN","NaN","0.00","0.00","0.00","0.00","NaN"
"incomparabilis","NaN","NaN","0.00","0.00","0.50","1.25","NaN"
"rarus","1.00","NaN","NaN","0.00","0.17","0.50","NaN"
"dulcis","NaN","NaN","0.33","NaN","4.00","5.00","NaN"
"bonus","0.25","0.21","0.07","0.20","0.20","0.19","NaN"
"castus","0.00","NaN","NaN","0.00","NaN","NaN","NaN"
"placidus","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"dignus","0.00","0.00","0.07","NaN","0.00","0.00","NaN"
"fortis","NaN","NaN","0.00","0.00","0.00","0.05","NaN"
"miser","NaN","NaN","0.00","NaN","NaN","NaN","NaN"
"nascor","0.33","0.00","1.00","0.00","0.00","0.00","NaN"
"mero","0.07","0.12","0.22","0.13","0.11","0.07","NaN"
"clarus","0.00","0.00","0.00","0.00","0.03","0.05","NaN"
"probus","0.00","0.00","0.00","0.00","NaN","NaN","NaN"
"felix","0.00","0.00","0.00","1.00","0.00","0.00","NaN"
"honestus","0.00","NaN","0.50","0.00","0.00","0.00","NaN"
"fidelis","NaN","0.00","0.17","0.00","0.00","0.00","NaN"
"mereo","0.00","0.00","0.33","0.33","0.38","0.27","NaN"
"clemens","NaN","0.00","0.00","NaN","NaN","0.00","NaN"
"lepidus","NaN","1.00","NaN","NaN","NaN","NaN","NaN"
"innocens","NaN","0.00","0.00","NaN","NaN","0.00","NaN"
"amans","NaN","NaN","0.00","NaN","0.00","NaN","NaN"
"tristis","NaN","NaN","NaN","NaN","0.00","NaN","NaN"
"simplex","NaN","NaN","0.00","0.00","0.00","NaN","NaN"
"laetus","NaN","NaN","0.00","0.00","0.06","0.06","NaN"
"studiosus","NaN","NaN","NaN","0.00","NaN","NaN","NaN"
"fidus","NaN","0.00","NaN","0.00","0.00","0.00","NaN"
"securus","NaN","0.00","NaN","NaN","0.00","NaN","NaN"
"integer","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"probatus","NaN","NaN","NaN","NaN","NaN","0.00","NaN"
"prudens","NaN","NaN","NaN","NaN","NaN","0.00","NaN"
"iucundus","NaN","NaN","NaN","0.00","NaN","NaN","NaN"
"probo","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"sapiens","NaN","NaN","NaN","NaN","NaN","0.00","NaN"
"amo","NaN","NaN","0.00","NaN","NaN","NaN","NaN"
"amabilis","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"afficio","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
