"","milites","liberti/libertae","servi/servae","sacerdotes pagani","ordo decurionum","ordo equester","ordo senatorius"
"mater","12","42","13","5","5","2","3"
"pater","50","53","9","17","28","15","5"
"frater","40","10","15","6","3","12","0"
"soror","9","12","4","2","1","0","1"
"nouerca","0","0","0","0","0","0","0"
"priuignus","0","1","0","0","0","0","0"
"amita","0","0","0","0","0","0","0"
"matertera","0","0","0","0","0","0","0"
"nurrus","0","0","0","0","0","0","0"
"filius","44","67","45","22","40","14","8"
"filia","19","46","12","8","6","6","6"
"auia","1","2","0","0","1","0","2"
"auus","1","0","0","1","2","0","0"
"auunculus","2","0","0","0","0","0","0"
"patruus","1","0","0","0","0","0","0"
"gener","3","1","0","0","0","1","0"
"nurus","0","0","0","0","0","0","0"
"uxor","14","56","10","8","11","3","0"
"maritus","21","30","4","9","17","6","5"
"coniux","0","1","0","0","0","0","0"
"coniunx","136","267","74","14","35","17","4"
"concubinus","0","0","0","0","0","0","0"
"contubernalis","2","4","2","0","0","0","0"
"parens","12","19","4","1","8","1","0"
"socer","1","0","0","0","0","1","0"
"conubium","0","0","0","0","0","0","0"
"matrimonium","0","0","0","0","0","0","0"
"Person M","284","398","142","119","153","88","265"
"Person W","9","19","13","4","3","3","4"
"Person N","2","2","2","1","1","2","3"
