"","0","50","100","150","200","250","undatiert"
"pientissimus","7","25","65","74","149","80","223"
"optimus","7","38","74","47","68","27","129"
"pius","12","20","33","20","50","60","485"
"clarus","0","0","0","0","1","2","0"
"incomparabilis","0","0","0","5","21","15","26"
"bonus","1","2","1","4","13","4","18"
"castus","0","1","4","2","1","2","6"
"carissimus","22","54","96","53","113","56","249"
"carus","1","5","6","6","11","3","20"
"sanctus","5","2","7","0","6","5","12"
"miser","2","3","3","2","0","2","3"
"felix","0","0","0","0","0","1","1"
"dulcis","2","2","2","5","10","8","27"
"pulcher","0","0","0","0","1","0","0"
"tristis","0","0","0","0","1","0","0"
"rarus","1","0","1","0","3","1","3"
"placidus","0","0","2","0","0","0","0"
"mereo","0","11","30","25","79","65","72"
"amo","0","1","0","1","1","0","6"
"nascor","2","0","1","1","2","1","4"
"pudens","1","0","1","0","0","0","0"
"fortis","0","0","0","1","0","0","0"
"simplex","0","0","0","0","0","0","1"
"mellitus","0","0","0","0","0","0","0"
"fidus","0","0","0","0","2","0","0"
"doleo","0","0","0","0","0","0","0"
"amans","0","0","0","0","0","0","0"
"amabilis","0","0","0","0","0","0","0"
"dignus","0","1","1","0","1","2","1"
"clemens","0","0","0","0","0","0","0"
"obsequentissimus","0","0","1","0","1","2","3"
"sollicitus","0","1","0","0","0","0","0"
"lepidus","0","2","0","0","0","0","0"
"afficio","0","0","0","0","1","0","0"
"honestus","0","0","0","0","1","1","0"
"suauis","0","0","0","0","0","0","0"
"integer","0","0","1","0","0","0","0"
"probus","1","0","0","0","0","0","0"
"iucundus","0","0","1","0","0","1","0"
"securus","0","0","0","0","0","0","0"
"laetus","0","0","0","0","2","1","0"
"sapiens","0","0","0","0","0","0","0"
"studiosus","0","0","0","0","0","0","0"
"prudens","0","0","0","0","0","0","0"
"frugi","0","0","0","0","0","0","0"
"probo","0","0","0","0","0","0","0"
