"","0","50","100","150","200","250","undatiert"
"pientissimus","7.00","4.17","5.00","8.22","5.96","4.71","6.19"
"optimus","3.50","6.33","6.17","6.71","3.58","2.70","6.79"
"pius","0.55","0.26","0.17","0.12","0.15","0.24","0.23"
"clarus","0.00","0.00","NaN","0.00","0.05","0.04","0.00"
"incomparabilis","0.00","0.00","0.00","1.67","0.91","0.88","1.44"
"bonus","0.09","0.03","0.01","0.05","0.07","0.05","0.07"
"castus","0.00","1.00","NaN","NaN","0.33","2.00","3.00"
"carissimus","7.33","7.71","10.67","13.25","12.56","7.00","11.32"
"carus","0.11","0.14","0.15","0.24","0.29","0.13","0.19"
"sanctus","0.56","0.18","0.47","0.00","0.21","0.19","0.86"
"miser","2.00","1.00","0.60","2.00","0.00","NaN","1.00"
"felix","NaN","0.00","0.00","0.00","0.00","0.25","0.14"
"dulcis","NaN","2.00","0.40","0.71","0.42","0.44","0.82"
"pulcher","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"tristis","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"rarus","1.00","0.00","0.33","0.00","0.43","0.17","0.18"
"placidus","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"mereo","0.00","0.27","0.48","0.38","0.58","0.77","0.47"
"amo","NaN","NaN","0.00","NaN","NaN","NaN","3.00"
"nascor","0.40","0.00","0.20","0.50","0.17","0.08","0.18"
"pudens","NaN","0.00","1.00","NaN","NaN","NaN","NaN"
"fortis","NaN","0.00","0.00","0.50","0.00","0.00","0.00"
"simplex","NaN","0.00","0.00","0.00","NaN","0.00","0.17"
"mellitus","NaN","NaN","NaN","NaN","NaN","NaN","0.00"
"fidus","0.00","0.00","NaN","0.00","0.67","NaN","0.00"
"doleo","NaN","NaN","NaN","NaN","0.00","0.00","NaN"
"amans","NaN","NaN","0.00","NaN","0.00","NaN","0.00"
"amabilis","NaN","NaN","NaN","NaN","0.00","NaN","NaN"
"dignus","0.00","0.12","0.03","0.00","0.50","0.50","0.33"
"clemens","NaN","0.00","0.00","0.00","0.00","0.00","NaN"
"obsequentissimus","NaN","NaN","NaN","NaN","NaN","2.00","1.50"
"sollicitus","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"lepidus","NaN","2.00","0.00","NaN","NaN","NaN","NaN"
"afficio","NaN","NaN","NaN","NaN","1.00","NaN","NaN"
"honestus","0.00","NaN","0.00","0.00","0.25","0.14","0.00"
"suauis","0.00","0.00","NaN","NaN","NaN","0.00","0.00"
"integer","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"probus","1.00","0.00","0.00","NaN","0.00","NaN","0.00"
"iucundus","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"securus","NaN","NaN","0.00","NaN","0.00","0.00","0.00"
"laetus","NaN","0.00","0.00","0.00","0.11","0.08","0.00"
"sapiens","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"studiosus","NaN","0.00","NaN","NaN","NaN","NaN","0.00"
"prudens","NaN","NaN","NaN","NaN","NaN","NaN","0.00"
"frugi","0.00","NaN","NaN","0.00","NaN","NaN","NaN"
"probo","0.00","NaN","NaN","NaN","NaN","0.00","0.00"
