"","milites","liberti/libertae","servi/servae","sacerdotes pagani","ordo decurionum","ordo equester","ordo senatorius"
"mater","5","14","3","0","0","1","0"
"pater","1","0","0","0","0","0","0"
"frater","0","0","0","0","1","0","0"
"soror","2","6","0","0","1","0","0"
"nouerca","0","0","0","0","0","0","0"
"priuignus","0","0","0","0","0","0","0"
"amita","0","0","0","0","0","0","0"
"matertera","0","0","0","0","0","0","0"
"nurrus","0","0","0","0","0","0","0"
"filius","2","2","1","0","0","1","0"
"filia","9","18","5","0","3","0","0"
"auia","0","0","0","0","0","0","0"
"auus","0","0","0","0","0","0","0"
"auunculus","0","0","0","0","0","0","0"
"patruus","0","0","0","0","0","0","0"
"gener","0","0","0","0","0","0","0"
"nurus","0","0","0","0","0","0","0"
"uxor","0","4","2","0","0","0","0"
"maritus","1","0","0","0","0","0","0"
"coniux","0","0","0","0","0","0","0"
"coniunx","18","22","5","2","2","3","0"
"concubinus","0","0","0","0","0","0","0"
"contubernalis","0","1","0","0","0","0","0"
"parens","2","3","1","0","0","0","0"
"socer","0","0","0","0","0","0","0"
"conubium","0","0","0","0","0","0","0"
"matrimonium","0","0","0","0","0","0","0"
"Person M","4","7","1","3","1","1","0"
"Person W","1","0","0","0","0","0","0"
"Person N","0","0","0","0","0","0","0"
