"","Hispania citerior","Roma","Venetia et Histria / Regio X","Apulia et Calabria / Regio II","Transpadana / Regio XI","Lusitania","Latium et Campania / Regio I","Umbria / Regio VI","Samnium / Regio IV","Gallia Narbonensis","Dalmatia","Aquitani(c)a","Lugudunensis","Germania superior","Moesia superior","Dacia","Bruttium et Lucania / Regio III","Noricum","Picenum / Regio V","Aemilia / Regio VIII","Numidia","Mauretania Caesariensis","Raetia","Moesia inferior","Pannonia inferior","Baetica","Sicilia","Sardinia","Liguria / Regio IX","Pannonia superior","Germania inferior","Alpes Maritimae","Britannia","Mauretania Tingitana","Etruria / Regio VII","Africa proconsularis","Macedonia","Alpes Cottiae","Cappadocia","Provincia incerta","Corsica","Asia","Arabia","Thracia","Italia","Belgica | Germania superior","Palaestina","Galatia","Barbaricum","Alpes Poeninae","Belgica","Achaia","Pontus et Bithynia","Aegyptus","Syria","Alpes Graiae","Lycia et Pamphylia"
"pientissimus","32","291","33","18","15","33","83","10","20","42","56","3","14","3","9","16","5","33","7","12","7","2","4","6","21","3","2","2","2","24","4","1","2","1","8","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"optimus","11","177","24","10","17","5","57","14","17","50","8","0","2","1","2","3","2","33","1","8","2","2","0","0","2","0","2","3","2","7","2","1","0","0","10","16","5","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pius","63","477","23","21","16","65","118","25","48","101","50","2","9","3","9","10","8","3","8","14","399","63","2","6","16","156","6","22","6","14","3","6","4","8","24","2292","6","1","0","5","3","0","3","3","1","2","0","0","0","0","0","0","0","0","0","0","0"
"clarus","3","94","7","1","7","3","47","5","10","2","2","0","3","1","3","7","1","0","1","1","22","3","0","7","4","2","1","0","1","0","0","0","3","1","5","37","2","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"incomparabilis","2","83","15","8","7","1","61","3","5","18","13","0","13","9","1","1","0","0","3","9","4","1","2","0","1","2","0","2","2","5","2","2","1","1","1","5","1","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0"
"bonus","35","319","30","20","23","15","128","17","33","74","17","1","10","1","4","1","5","35","3","16","21","19","2","4","6","12","2","9","4","4","0","3","0","2","24","23","3","5","0","1","0","1","0","1","0","2","0","0","0","1","1","3","0","0","0","0","0"
"castus","0","11","1","1","0","0","4","3","0","1","2","0","0","0","0","0","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"carissimus","11","406","21","6","28","3","66","8","9","24","22","4","16","2","4","6","8","8","3","5","25","7","2","5","9","3","1","4","2","17","3","4","3","0","15","24","1","1","0","2","0","0","0","0","1","2","0","1","0","1","2","0","1","0","0","0","0"
"carus","14","191","7","6","3","2","27","7","8","4","4","2","6","1","3","2","1","6","1","4","22","3","2","2","13","14","0","1","1","6","1","3","0","0","5","26","0","0","0","3","0","1","0","1","0","0","0","0","1","0","1","0","1","1","0","0","0"
"sanctus","5","74","3","2","0","1","23","1","9","1","4","5","2","8","4","3","0","1","0","0","3","3","1","17","1","0","0","1","1","3","1","0","3","0","4","4","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0"
