"","Hispania citerior","Roma","Venetia et Histria / Regio X","Apulia et Calabria / Regio II","Transpadana / Regio XI","Lusitania","Latium et Campania / Regio I","Umbria / Regio VI","Samnium / Regio IV","Gallia Narbonensis","Dalmatia","Aquitani(c)a","Lugudunensis","Germania superior","Moesia superior","Dacia","Bruttium et Lucania / Regio III","Noricum","Picenum / Regio V","Aemilia / Regio VIII","Numidia","Mauretania Caesariensis","Raetia","Moesia inferior","Pannonia inferior","Baetica","Sicilia","Sardinia","Liguria / Regio IX","Pannonia superior","Germania inferior","Alpes Maritimae","Britannia","Mauretania Tingitana","Etruria / Regio VII","Africa proconsularis","Macedonia","Alpes Cottiae","Cappadocia","Provincia incerta","Corsica","Asia","Arabia","Thracia","Italia","Belgica | Germania superior","Palaestina","Galatia","Barbaricum","Alpes Poeninae","Belgica","Achaia","Pontus et Bithynia","Aegyptus","Syria","Alpes Graiae","Lycia et Pamphylia"
"pientissimus","1.51","1.00","1.59","0.96","1.11","2.23","0.94","0.73","0.82","1.16","1.73","1.63","1.49","0.51","1.02","1.29","0.91","2.42","1.58","1.12","0.11","0.14","1.61","0.78","2.07","0.13","1.16","0.30","0.54","2.00","1.37","0.44","0.71","0.58","0.55","0.00","0.33","0.84","4.63","0.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"optimus","0.85","1.00","1.90","0.88","2.07","0.56","1.06","1.68","1.15","2.27","0.41","0.00","0.35","0.28","0.37","0.40","0.60","3.99","0.37","1.23","0.05","0.23","0.00","0.00","0.32","0.00","1.90","0.75","0.90","0.96","1.13","0.72","0.00","0.00","1.14","0.10","2.72","2.77","0.00","0.00","3.04","1.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"pius","1.82","1.00","0.68","0.69","0.72","2.68","0.81","1.11","1.20","1.70","0.94","0.66","0.58","0.31","0.62","0.49","0.89","0.13","1.10","0.80","3.87","2.74","0.49","0.48","0.96","4.28","2.12","2.04","1.00","0.71","0.63","1.61","0.87","2.82","1.01","5.21","1.21","0.51","0.00","2.02","3.39","0.00","4.24","2.82","1.88","1.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"clarus","0.44","1.00","1.04","0.17","1.60","0.63","1.64","1.13","1.27","0.17","0.19","0.00","0.99","0.53","1.05","1.74","0.56","0.00","0.70","0.29","1.08","0.66","0.00","2.83","1.22","0.28","1.79","0.00","0.84","0.00","0.00","0.00","3.31","1.79","1.07","0.43","2.05","0.00","14.33","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.33","9.55","14.33","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"incomparabilis","0.33","1.00","2.54","1.50","1.82","0.24","2.42","0.77","0.72","1.74","1.41","0.00","4.85","5.41","0.40","0.28","0.00","0.00","2.37","2.95","0.22","0.25","2.82","0.00","0.35","0.32","0.00","1.06","1.91","1.46","2.40","3.09","1.25","2.03","0.24","0.07","1.16","0.00","0.00","0.00","6.49","0.00","0.00","0.00","10.82","0.00","0.00","0.00","0.00","8.11","4.64","0.00","0.00","0.00","0.00","0.00","0.00"
"bonus","1.51","1.00","1.32","0.98","1.55","0.92","1.32","1.13","1.24","1.87","0.48","0.50","0.97","0.16","0.41","0.07","0.83","2.35","0.62","1.36","0.30","1.23","0.73","0.48","0.54","0.49","1.06","1.25","0.99","0.30","0.00","1.21","0.00","1.06","1.51","0.08","0.90","3.84","0.00","0.60","0.00","1.06","0.00","1.41","0.00","2.82","0.00","0.00","0.00","2.11","1.21","8.45","0.00","0.00","0.00","0.00","0.00"
"castus","0.00","1.00","1.28","1.42","0.00","0.00","1.20","5.79","0.00","0.73","1.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.95","2.47","0.00","0.00","0.00","0.00","0.00","1.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"carissimus","0.37","1.00","0.73","0.23","1.49","0.15","0.53","0.42","0.27","0.48","0.49","1.56","1.22","0.25","0.32","0.35","1.04","0.42","0.49","0.34","0.29","0.36","0.58","0.47","0.64","0.10","0.41","0.44","0.39","1.02","0.74","1.26","0.77","0.00","0.74","0.06","0.24","0.60","0.00","0.95","0.00","0.00","0.00","0.00","2.21","2.21","0.00","2.21","0.00","1.66","1.90","0.00","1.66","0.00","0.00","0.00","0.00"
"carus","1.01","1.00","0.51","0.49","0.34","0.21","0.46","0.78","0.50","0.17","0.19","1.66","0.97","0.26","0.52","0.25","0.28","0.67","0.34","0.57","0.53","0.33","1.23","0.40","1.95","0.96","0.00","0.23","0.41","0.76","0.52","2.01","0.00","0.00","0.53","0.15","0.00","0.00","0.00","3.02","0.00","1.76","0.00","2.35","0.00","0.00","0.00","0.00","7.05","0.00","2.01","0.00","3.53","1.76","0.00","0.00","0.00"
"sanctus","0.93","1.00","0.57","0.42","0.00","0.27","1.02","0.29","1.46","0.11","0.49","10.71","0.84","5.39","1.78","0.95","0.00","0.29","0.00","0.00","0.19","0.84","1.58","8.72","0.39","0.00","0.00","0.60","1.07","0.98","1.35","0.00","4.20","0.00","1.09","0.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.07","0.00","0.00","0.00","12.14","0.00","0.00","5.20","0.00","0.00","0.00","0.00","0.00","0.00"
