"ID","Text","Zuschreibung"
"EDCS-01500175","bene merenti Ursino qui vixit annum unum menses",""
"EDCS-19400056","Dis Manibus Publio Corfidio Signino pomario de agger  a proseucha Quintus Sallustius Hermes amico bene merenti et numerum ollarum decem","mero"
"EDCS-10502146","Dis Manibus Aibkixlisi Diantae uxoris Sextus Ligurus Sextus posuit",""
"EDCS-26100057","Dis Manibus sacrum Quintus Tadius Vic tor Honora tianus pius vixit annos XIII menses XI dies XV hic situs est Honori",""
"EDCS-24900432","Dis Manibus sacrum Priscianus pius vixit annis III mensibus VIII diebus XXI fecit Redemtus pater Redemtus pius vixit annis","pius"
"EDCS-25001649","Dis Manibus sacrum Fructus Caesaris nostri servus pedisequus pius vixit annis XXXI hic situs est","pius"
"EDCS-31500387","Servena Marci filia Maxima annorum XV",""
"EDCS-09802035","Dis Manibus Sextus Caelius Sexti filius Honora tus vixit annos  VII hic situs est",""
"EDCS-27000321","Tullia Marci filia viva fecit sibi et suis Marco Tullio Marci filio Cornelia Cratippo fratri suo sacerdoti Romae et Salutis Tito Aufidio Titi filio Aniensi Balbo filio suo tribuno militum Alexandria ad Aegyptum legionis XXII annos VIIII Tito Aufidio Titi filio Aniensi Spinteri viro suo tribuno militum in Hispania legionis IIII annos V",""
"EDCS-16900296","Iulia Sulpicia Cassi filia S hic sita est sit tibi terra levis H FAB Caius Gracus coniugi VIII",""
"EDCS-14400541","Dis Manibus Hostilio Ter tino annorum XL et Va leriae Sedatae coniugi Hostili Tertul linus et Tertullus parentibus optimis filii fecerunt","optimus"
"EDCS-14201138","Dis Manibus Publius Sullius Zoticus et Sul lia Nice coniunx vivi si bi et filiis et libertis liberta busque posterisque eorum fecerunt ita ne a quoquam eorum hortulus alienetur vel veneat quot si quis donare ve lt n=XI gt dere alienareve aliquo modo voluerit «Iuliae Tatianeti coniugi optimae» et liber «tis libertabusque posterisque eius» «Sullius Stefan»us","optimus"
"EDCS-09600646","Corpus hic situm est Luci Clodii Luci filii Rufini filii Clodii Pompei qui vixit annos IX menses VII dies V Sempronia Cai filia Rufina mater fecit",""
"EDCS-11901280","Dis Manibus sacrum Cogitata an norum V Firmi dius Peregrinus filiae faciendum curavit hic sita est sit tibi terra levis",""
"EDCS-23102989","Dis Manibus vixit annos   menses   dies   fecit Re",""
"EDCS-14500695","Secundino Suri filio annorum LX et Tottiae Prisci filiae coniugi annorum XXX F E S",""
"EDCS-11100327","Sullae Senni filio Remo argentar io ",""
"EDCS-10200011","Dis Manibus sacrum Paternus Cantaber Orgen omescus frater fecit annorum XX",""
"EDCS-09801369","Iulius Victoricus valuit annis XXXVI",""
"EDCS-47800756","Iohana",""
"EDCS-22100207","Lucius Laelius Luci filius Scurra",""
"EDCS-46300016","Dis Manibus sacrum memor iae Mari nae filiae",""
