"ID","Lemma (RegEx)","Regulärer Ausdruck","Text","Lemma (Latincy)"
"EDCS-18800013","mater","mat(er|ri|rum|re)","Dis Manibus Agathemero Augusti liberto fecerunt Asia coniugi suo bene merenti et Panthagathus Caesaris nostri servus aqua rius magistro bene merenti et Veneriae mater filiae suae dulcissimae quae vixit annos XXI dies XXV et Panthagathus coniugi karissimae et sibi et suis posterisque eorum","mater"
"EDCS-18800075","mater","mat(er|ri|rum|re)","Carianae Luci libertae matri Carianae Spuri filiae Secundae sorori Caio Boviano Cai filio Clustumina Proculo Secundo Hyblaeo divi Augusti a manu","mater"
"EDCS-12300359","mater","mat(er|ri|rum|re)","Imperator Caesar Publius Licinius Valeria nus Pius  Felix Augustus pontifex maximus tribunicia potestate II consul II et Imperator Caesar Publius Licinius Egnatius Gallienus Pius Felix Augustus pontifex maximus tribunicia potestate II consul nomina militum qui  ante diem VI Idus Ianuarias Impperatoribus Valeriano Augusto II et Gallieno Augusto consulibus cohors I praetoria Valeriana Galliena Pia Vindex Publio Anneio Publi filio Probo Papiria Poetovione descriptum et recognitum  Imperator Caesar Publius Licinius Valerianus Pius Felix Augustus pontifex maximus tribunicia potestate II consul II et Imperator Caesar Publius Licinius Egnatius Gallienus Pius Felix Augustus pontifex maximus tribunicia potestate II consul nomina militum qui militaverunt in cohorti bus praetoriis Valerianis Gallienis decem I II III IIII V VI VII VIII VIIII X Piis Vindicibus qui pie et fortiter militia functi sunt ius tribuimus conubii dumtaxat cum sin gulis et primis uxoribus ut etiamsi pe regrini iuris feminas i lt n=M gt  matrimonio su o iunxerint proinde liberos tollant ac si ex duobus civibus Romanis natos ante diem   Idus Ianuarias Impperatoribus Valeriano Augusto II et Gallieno Augusto consulibus cohors I praetoria Valeriana Galliena Pia Vindex Publio Anneio Publi filio Probo Papiria Poeto lt v=B gt ione descriptum et recognitum ex tabula aerea quae fixa est Romae i lt n=M gt  muro post templum divi Augusti ad Minervam  Marci Aureli Quintiani Luci Aureli Simplici Publi Appei Marcellini Cai Caeli Germanicini Publi Aeli Bassani Marci Aureli Magrini  Publi Bellici Vicenti","matrimonium"
"EDCS-14900296","mater","mat(er|ri|rum|re)","Dis Manibus sacrum   Nunnius Secundinus Marci filius Quirina Luciolus vixit annis LXXXVIIII uxor et filii posuerunt hic situs est  Dis Manibus sacrum Sperontia Saturnina vixit annis LXXVI filii matri dulcissimae posuerunt hic sita est","mater"
"EDCS-23601026","mater","mat(er|ri|rum|re)","Cornelia Clara Quinti filia Anucla vixit annos XXXII hic sita est Cambia Cai filia Cambi lla matri posuit","mater"
"EDCS-23200564","mater","mat(er|ri|rum|re)","Dis Manibus Fortuni ae For tunataes  matri pi entissi mae Vitalis filius","mater"
"EDCS-01500174","mater","mat(er|ri|rum|re)","Probatae filiae dulcissimae quae vixit an nos   menses VIII dies XXII pater  us et mater Ur sina ponendum curaverunt","mater"
"EDCS-05503001","mater","mat(er|ri|rum|re)","Corneliae Cai filiae Flaccellae Quintus Iunius Pupillus matri","mater"
"EDCS-17500189","mater","mat(er|ri|rum|re)","Dis Manibus Luci Surdini Sa turnini liburna Ar mata natione Afer vixit annos XXXX militavit annos XVIIII Clodia Secunda mater filio bene merenti fecit","mater"
"EDCS-47200372","mater","mat(er|ri|rum|re)","Dis Manibus sacrum Lucio Plotio Noniano patri vixit annos LX et Antoni ae Capitoli nae matri","mater"
"EDCS-20401816","pater","pat(er|ri|rum|re)","Imperator Caesar divi Antonini Pii filius divi Veri Parthici maximi frater divi Hadriani nepos divi Traiani Parthici pronepos divi Nervae abnepos Marcus Aurelius Antoninus Pius Augustus Germanicus pontifex maximus tribunicia potestate XXVIII imperator VI consul III pater patriae proconsul restituit","patria"
"EDCS-08200895","pater","pat(er|ri|rum|re)","Dis Manibus Numerius Terraeus Dyrra chinus vixit annos XXIII hic situs Numerius Terraeus Dyrrachi nus pater filius merenti posuit","pater"
