"ID","Text","Zuschreibung","Token","Evaluation",
"EDCS-28300344","Dis Manibus Caius P Dexter fecit Baebiae Ingenu ae coniugi pientissimae bene merenti","mereo","coniugi","TP",
"EDCS-11500981","Alexandriae infanti dulcis simae quae vixit annos III menses XI dies XX Pelagi us pater","dulcis",,"TN",
"EDCS-13001178","Dis Manibus sacrum Caelius Urbicus pius vixit annos XXV hic situs est","pius","Caelius","TP",
"EDCS-14804022","Dis Manibus sacrum Naeviae Severianae Caelius Tacitus veteranus Augusti nostri coniugi de se bene merenti","mereo",,"FN",
"EDCS-30700038","Dis Manibus Sacrum Plaetoriae Threptae fecit Primigenius coniugi carissimae et Threptae matri dulcissimae bene merenti fecit vixit annos XXX","carissimus","matri","FP/TP","gleiche Person, aber falsches Beziehungswort"
"EDCS-13001156","Dis Manibus sacrum Arisi a Mat rona vixit pia annos LXXXV hic sita est  Dis Manibus sacrum Caius Licini us Fes tus Pa terni filius pius vixit annos XXXXV hic situs","pius","filius","TP",
"EDCS-28600071","IF RCE V ro sius EMPFVM NE parentes filiae carissimae","carissimus","filiae","TP",
"EDCS-08400344","Dis Manibus S ecurus suae uxori merenti carissimae Lupulae posuit memoriam annorum XXXV","carissimus","Lupulae","TP/FP","gleiche Person, aber Name statt Beziehungswort"
"EDCS-54800086","Dis Manibus   Primiti   conservae   pientissimae bene merenti fecit quae vixit annos   menses XI","pientissimus",,"TN",
"EDCS-20401287","Dis Manibus sacrum Lucio Manlio Luci filio Oufentina Montano Lucius Manlius Glaucio sibi et Animisiae Cai libertae Restitutae uxori Lucio Manlio Luci filio Oufentina Apro Manlius hic situs est Montanus raptus iniqua femineaque manu insperans incidit aetas fas erat ut potius natus pia funera nobis penderet et dignos coleret Manesque patresque si fortuna pie servasset vota parentum","dignus",,"TN",
"EDCS-02700595","Dis Manibus sacrum Lucio Valerio Luci filio C  Meldubrigensi viro  optimo  annorum   Valeriae Cai filiae Ma  Salagensi annorum   matri Lucio Valerio   Meldubrigensi annorum XXII  Valeria S  parentibus suis fecit","bonus","Lucio","TP",
"EDCS-68300243"," Flavos  coniu gi pientissimae faciendum curavit sit tibi terra levis","pientissimus",,"FN","Beziehungswort durch formatierung geteilt"
"EDCS-70100147","Dis Manibus  onia Mon nata vixit annos L Iulius et Ronianus et Agrippa matri bene merenti fecerunt","mero",,"FN",
"EDCS-13802050","Sallustiae Pheme Diognetus coniugi bene merenti fecit","mero","coniugi","TP",
"EDCS-30200402","Aurelius Epidius Vitaliae Victorinae coniugi bene merenti  posuit","mereo",,"FN",
"EDCS-11400108","Dis Manibus Caius Octavius Cres cens patronus municipii omnibus honoribus functus vixit annos LXXX uxor pientissima marito bene merenti fecit","mero","marito","TP",
"EDCS-15500142","Dis Manibus Caecilio Auguri o fecit Caelia Felicissima et et Caelius Au gurius pio b ene meren ti filio dul cissimo","pius","Caelius","TP",
"EDCS-10100854","Dis Manibus sacrum Atilia Ermetil la Iulio Urso coniugi suo bene merenti PSVDA PM annorum XXXX","mereo","coniugi","TP",
"EDCS-78200113","Dis Manibus Septiminus vixit annis XXXXIII mensibus V diebus XXIII Iulia Restuta marito optimo","bonus","marito","TP",
"EDCS-03000896","Quintus Fufius Fortu natus pius vixit annos   hic situs est","nascor","Quintus","TP",
"EDCS-10201133","Dis Manibus Gaviae Euphrosy ne bene merenti quae vixit annos XXXXV fecit Chari ton conli bertus","mero",,"FN",
"EDCS-16100156","Dis Manibus Tiberio Claudio Hermeti fecit Umbria Helpis con iugi karissima et sibi et Tiberius Claudius Zosas colliberto suo bene de se merenti","mereo",,"TN",
"EDCS-16600025","Dis Manibus sacrum Vetia Natali ca pia vixit annum I menses VIII","pius",,"FN",
"EDCS-20700125","Dis Manibus  cili Gaetu lici   piissimi   mensibus II diebus IIII ","pius",,"FN",
"EDCS-04000229"," coniuga ded ucta ad ultimum aetate diem pia vixit annos XXXVII hic sita est  b Sanae Fortunatae   filius pius vixit annos LXXVII hic situs est","pius","filius","TP",
"EDCS-06600050","Dis Manibus Antoniae One simae Spurius Baebius Fortunatus coniugi bene merenti cum qua vixit annos XXVII","mero","coniugi","TP",
"EDCS-85701022","Dis Manibus sacrum Primiti va pia vixit annos LXXII","pius",,"FN","Name durch Formatierung geteilt"
"EDCS-20800668","Dis Manibus sacrum Donata pia iusta v ale serva tuos omn es coniugis absentis re ditum perf erre nequisti Ampliatus poterit tibi tristia dona referre","pius",,"FN",
"EDCS-81700054","Dis Manibus   filiae  ae Cnaeus Sentius Lucilius Gamala Clodianus matri carissimae","carissimus",,"FN",
"EDCS-10300306","Dis Manibus sacrum  us  VII   Dis Manibus sacrum Iulia Rogatina vixit annis XXV hic sita est parentes filiae cari ssimae posuerunt  Dis Manibus sacrum Iulia Inventa vixit annis XXX hic sita est parentes fil iae carissimae posuerunt  Dis Manibus sacrum Lucius Magnius Satur homo laboriosus non dignus loco pe regre defunctus in via Hadrumetina vixit annos LV Iulia Quinta coniunx  carissima marito suo posuit  hic situs est","dignus",,"TN",
"EDCS-25900379","Dis Manibus sacrum Vibius Mustulus pius vixit annos LLXXX V","pius","Vibius","TP",
"EDCS-08700317","Lucius Postumius Luci filius Galeria Superstes IIvir pontifex colonorum coloniae Patriciae annorum LXXXV pius in suis hic situs est sit tibi terra levis huic ordo colonorum coloniae Patriciae decrevit locum sepulturae funeris i lt m=N gt pensam laudationem statuam","pius","Lucius","TP",
"EDCS-15400530","Dis Manibus sacrum Successianeni pientissimae merenti posuit coniugi pientissimae  sua pecunia posuit et sibi","pientissimus","coniugi","TP",
"EDCS-25700331","Dis Manibus sacrum Lucius Murrius  Fronto vetera nus ex legione II Adiutrice   DON ALARIS pius vixit annis LXXV hic situs","pius",,"FN","Viele Zeilenumbr�che"
"EDCS-14801356","Tiberia Nice mater fecit Tiberio Crysi oni filio dulcissi mo bene merenti annorum XVI mensium V dierum XIIII sibi et Vibio Onesi mo coniugi","mero",,"FN",
"EDCS-04001641","Sapunum  vixit annos LXXV hic situs est heres pius posuit","pius",,"TN",
"EDCS-05502372","Caio Atilio Luci filio Quirina Geniali Atilia Festa avo Lucio Atilio Cai filio Quirina Festo Atilia Festa patri optimo Atilia Luci filia Festa et sibi se viva fecit","bonus","patri","TP",
"EDCS-25001940","Dis Manibus sacrum Aelia Augusti liberta Cupi ta pia vixit annos L hic sita est Castrensis collibertus merenti fecit","pius",,"FN","Name durch Formatierung geteilt"
"EDCS-05502124","Dis Manibus sacrum Arronis Camalic um carissimo patri  filius sit tibi terra levis","carus","patri","TP",
"EDCS-13801379","Dis Manibus  nti qui vixit annos VIII menses VII dies X  hic nunc aeternas situs sum qui raptus in arces annos a decimo octavum menses qui dies suaviloqua priscis aequabar doctus in arte nec potuit fatum vincere blanda dies quid miseri fletis solito de more parentes omnes aeque rapit ditis acerba manus et vos per Stigias portabit portitor undas cum vitam Parcae linquent et stamina Clotho raptum care parens colito per tempora fatis sique voles semper dulci me voce vocare ad superos iterum vi lt v=B gt am te sospite semper nec tu nunc genitrix tristis sic fata lacesse sed potius optes mihi quetos optima Manes spargas adque mero tumulum mihi in aevo fecerunt Publicius Euplus et Publicia     parentes filio pientissimo     Domitius Calocaerus amicus  ","tristis","Manes","FP",
"EDCS-23300852","Dis Manibus     Diadu meno Arria  nda coniugi bene merenti fecit","mero","coniugi","TP",
"EDCS-14800271","Dis Manibus Antoniaes  Heracliaes  vixit annos XXV menses IIII dies V fecit Titus Flavius Sozomenus coniugi bene merenti in fronte pedes II in agro pedes VI","mero","coniugi","TP",
"EDCS-14801261","Dis Manibus sacrum Tettia Callityche Caio Tettio Threpto coniugi bene merenti fecit","mero","coniugi","TP",
"EDCS-65600338","Dis Manibus sacrum Teren tius Au gusta lis vixit annos XXX mater pia posuit hic situs est","pius","mater","TP",
"EDCS-12001032","Dis Manibus Tito Flavio Martiali vixit annos XXIII menses VI Titus Flavius Daphnus et Flavia Nicophoris bene merenti filio fecerunt Titus Flavius Terpnus frater ","mero",,"FN",
"EDCS-13801811","Dis Manibus Rufiniae Helpidi coniugi bene merenti fecit Rannius Secundus et sibi et libertis libertabusque posterisque eorum","mero","coniugi","TP",
"EDCS-10701112","Dis Manibus sacrum Lavio Alexan dro Titia Per lis coniugi ca rissimo et be ne merenti et filio piissimo ","mero","filio","FP","An falsche Person adressiert"
"EDCS-24400212","Dis Manibus sacrum Lucius Laelius Adiec tus pius vixit   hic situs est","pius","Lucius","TP",
"EDCS-11500856","Dis Manibus Haia Zosime Mallo actori merenti","mereo",,"TN",
"EDCS-05501004","Quinto Arrio Flaviano annorum II hic situs est sit tibi terra levis Flavia Secunda filio merenti de suo fecit","mero","filio","TP",
"EDCS-05600660","Dis Manibus Publius M  annorum V  pius in suis   hic situs est sit tibi terra levis","pius","Publius","TP",
"EDCS-19300690","Dis Manibus Acilia Irena Tito Flavio Felici coniugi suo carissimo fecit sibi et suis posterisque ","carus","coniugi","TP",
"EDCS-16100624","Fulvia Dubita ta pia vixit annos XCVII","pius",,"FN","Name durch Formatierung geteilt"
"EDCS-20401163","Caio Caecinae Cai liberto Euanthe liberto optimo et fidelissimo Caecina Paetus patronus fe cit","bonus","Caio","FP","An falsche Person adressiert"
