ID,Text,Zuschreibung,Evaluation,
EDCS-01500175,bene merenti Ursino qui vixit annum unum menses,,FN,
EDCS-19400056,Dis Manibus Publio Corfidio Signino pomario de agger  a proseucha Quintus Sallustius Hermes amico bene merenti et numerum ollarum decem,mero,TP,
EDCS-10502146,Dis Manibus Aibkixlisi Diantae uxoris Sextus Ligurus Sextus posuit,,TN,
EDCS-26100057,Dis Manibus sacrum Quintus Tadius Vic tor Honora tianus pius vixit annos XIII menses XI dies XV hic situs est Honori,,FN,
EDCS-24900432,Dis Manibus sacrum Priscianus pius vixit annis III mensibus VIII diebus XXI fecit Redemtus pater Redemtus pius vixit annis,pius,TP,
EDCS-25001649,Dis Manibus sacrum Fructus Caesaris nostri servus pedisequus pius vixit annis XXXI hic situs est,pius,TP,
EDCS-31500387,Servena Marci filia Maxima annorum XV,,TN,
EDCS-09802035,Dis Manibus Sextus Caelius Sexti filius Honora tus vixit annos  VII hic situs est,,TN,
EDCS-27000321,Tullia Marci filia viva fecit sibi et suis Marco Tullio Marci filio Cornelia Cratippo fratri suo sacerdoti Romae et Salutis Tito Aufidio Titi filio Aniensi Balbo filio suo tribuno militum Alexandria ad Aegyptum legionis XXII annos VIIII Tito Aufidio Titi filio Aniensi Spinteri viro suo tribuno militum in Hispania legionis IIII annos V,,TN,
EDCS-16900296,Iulia Sulpicia Cassi filia S hic sita est sit tibi terra levis H FAB Caius Gracus coniugi VIII,,TN,
EDCS-14400541,Dis Manibus Hostilio Ter tino annorum XL et Va leriae Sedatae coniugi Hostili Tertul linus et Tertullus parentibus optimis filii fecerunt,optimus,TP,
EDCS-14201138,Dis Manibus Publius Sullius Zoticus et Sul lia Nice coniunx vivi si bi et filiis et libertis liberta busque posterisque eorum fecerunt ita ne a quoquam eorum hortulus alienetur vel veneat quot si quis donare ve lt n=XI gt dere alienareve aliquo modo voluerit «Iuliae Tatianeti coniugi optimae» et liber «tis libertabusque posterisque eius» «Sullius Stefan»us,optimus,TP,
EDCS-09600646,Corpus hic situm est Luci Clodii Luci filii Rufini filii Clodii Pompei qui vixit annos IX menses VII dies V Sempronia Cai filia Rufina mater fecit,,TN,
EDCS-11901280,Dis Manibus sacrum Cogitata an norum V Firmi dius Peregrinus filiae faciendum curavit hic sita est sit tibi terra levis,,TN,
EDCS-23102989,Dis Manibus vixit annos   menses   dies   fecit Re,,TN,
EDCS-14500695,Secundino Suri filio annorum LX et Tottiae Prisci filiae coniugi annorum XXX F E S,,TN,
EDCS-11100327,Sullae Senni filio Remo argentar io ,,TN,
EDCS-10200011,Dis Manibus sacrum Paternus Cantaber Orgen omescus frater fecit annorum XX,,TN,
EDCS-09801369,Iulius Victoricus valuit annis XXXVI,,TN,
EDCS-47800756,Iohana,,TN,
EDCS-22100207,Lucius Laelius Luci filius Scurra,,TN,
EDCS-46300016,Dis Manibus sacrum memor iae Mari nae filiae,,TN,
EDCS-09600723,Dis Manibus Marci Cloeli Hilari   cognat    VI,,TN,
EDCS-04203419,Dis Manibus Luci Caeli Arriani medico legionis II Italicae qui vixit annos XXXXVIIII menses VII Scribonia Faustina coniugi karissimo,,FN,(Grenzfall: k-Schreibweise)
EDCS-08700582,In fronte pedes XII in agro pedes X Cornelia Faustilla annorum XXV hic sita est sit tibi terra levis,,TN,
EDCS-00600324,Dis Manibus Eugeneti ma rito bene me renti qui vixit annos XXXV Athen us coniunx fecit,,FN,(Leerzeichen innerhalb von Worten)
EDCS-20601003,tho Augusti liberto a rationibus    imo et     Augusti liberto a rationibus    simo    usi,,TN,
EDCS-26600588, Proculus Savaria optio legionis II Adiutricis stipendiorum VI annorum XXV hic situs est Valeria Procula mater et Valerius Fuscus frater titulum memoriae posuerunt,,TN,
EDCS-21300134,Dis Manibus Aurelia Luci filia Maxima vixit annos II Aurelius Fortunatus pater piissimus faciendum curavit,pius,TP,
EDCS-23102672,Valeria Synethe  Marcus Valerius Ga,,TN,
EDCS-19300045,Dis Manibus Caio Nerio Filemoni qui vixit annos III menses IIX Caius Nerius Pannuchus et Neria Filenis parentes filio pientissimo fecerunt,,FN,
EDCS-70900233,Marcus Petacius Marci filius Menenia Severus vixit annos XVII,,TN,
