,Index,ID,Provinz,Ort,Breite,Länge,Text,_7,_8,_9
0,73,EDCS-08200327,Achaia,Corinth / Korinthos / Corinthus,37.9386936,22.9280447,Se]mpr[onio 3] / [3 I]sthmi[co 3] / [3]IIvir(o) I[3] / [ex dec]r(eto) decu[r(ionum) et populi] / [suffra]gio ite[r creato] / [3]BEND[3] / [b(ene)] m(erenti) / [3]VS[,-25,10,
1,331,EDCS-15800285,Aegyptus,?,,,L(ucio) Nonio Torquato Asprenate II M(arco) Annio / Libone co(n)s(ulibus) Idib(us) April(ibus) anno XII Imp(eratoris) / Caesaris Traiani Hadriani Aug(usti) mense / Pharmuthi die XVIII Alex(andriae) ad Aeg(yptum) / descriptum et recognitum ex tabula pro/fes(s)ionum quibus liberi nati sunt / quae tabula proposita erat in foro Aug(usti) / in qua scriptum fui&lt;t=D&gt; id quod infra scri/ptum est M(arco) &lt;Gavio=CLAUDIO&gt; Squilla Gallicano / T(ito) Atilio Rufo Titiano co(n)s(ulibus) anno XII Imp(eratoris) / Caesaris Traiani Hadriani Aug(usti) T(ito) Flavi(o) / Titiano praef(ecto) Aeg(ypti) profes(s)iones liberorum / acceptae citra causarum cognitionem // tab(ula) VIII pag(ina) II amplioribus litteris / scriptum est L(ucio) Nonio Torquato Asprenat[e] / II M(arco) Annio Libone co(n)s(ulibus) et post alia pag(ina) IX / VI Kal(endas) Apri(les) / C(aius) Herennius Geminianus HS CCCLXXV / fi(liam) n(atam) Herenniam Gemellam / ex Diogenide M(arci) f(iliam) Thermu/thario V Idus Mart(ias) q(uae) p(roximae) / f(uerunt) c(ivem?) R(omanam?) e(xscripsi?) ad K(alendarium?) // M(arci) Iuli Capitolini / L(uci) Petroni Celeris / C(ai) Iuli Blandiani / M(arci) Antisti Longi / C(ai) Semproni Valentis / T(iti) Flavi Macrini / M(arci) Antoni Clementis,128,128,leges;  mulieres;  ordo equester;  tituli operum;  tria nomina;  viri
2,334,EDCS-15900140,Aegyptus,?,,,C(aius) Antonius Maximus armorum cus(tos) / L(uci) Farsulei / M(arcus) Arrius Antoninus / turma Rufi / Gaius Barga mil(es) L(uci) Farsulei / C(aius) Iulius Marcellus cornicul(arius) / [3]VDI / T(itus) Marsias Bammogalis(?) SV[3]XI / Numerius Alexa fil(ius) Longi / M(arcus) Lucretius Clem[en]s [3] / [6] / M(arcus) Lucretius Clemens eq(ues) coh(ortis) I Thra(cum) / tur(ma) Silvani testatus est eos qui signa/turi erant iuravitque per I(ovem) O(ptimum) M(aximum) / et Numina divorum Augustorum / Geniumque Imp(eratoris) Caesaris Traiani / Hadriani Augusti naturalem sibi fi/lium in militia natum esse Sere/num ex Octavia Tamusta VII Kal(endas) / Maias ann(o) XI Imp(eratoris) Caesaris Traiani / Hadriani Augu(sti) // Ut possit post honestam missionem suam / ad epicrisin suam adprobare filium suum / naturalem esse / actum castris hib(ernis) coh(ortis) I T(hracum) contra / Apollonos poli(m) magna(m) Thebaidis / Kal(endis) Mai(i)s ann(o) s(upra) s(cripto),127,127,
3,336,EDCS-79000123,Aegyptus,?,,,A&lt;f=S&gt;inio // L(ucius) Iulius Vestinus praef(ectus) Aeg[y]/pti nomina eorum qui sept[em] t[es]/t[i]um praesentia liberos inge/n[u]os natos sibi professi sunt propos[ui] / P(ublio) Mario L(ucio) A&lt;f=S&gt;inio Gallo co(n)s(ulibus) / XVII K(alendas) Augustas / T(itus) Valerius Pomp(tina) Mariscus HS CCLX[3]/ta[3] filium natum C(aium) Valerium [1]u[3] / [3] Crescentia Pomponia [3] / III Non(as) Iu[l]ias q(uae) p(roximae) f(uerunt) c(ivem?) R(omanam?) e(xscripsi?) a[d] / &lt;k=C&gt;a[l]en[darium(?) 3] / [3]es[,62,62,leges;  mulieres;  ordo equester;  tria nomina;  viri
4,342,EDCS-15800284,Aegyptus,?,,,P(ublio) Mario L(ucio) Afinio Gallo co(n)s(ulibus) / X K(alendas) Augustas / anno VIII Neronis Claudi Caesaris / Augusti Germanici Imp(eratoris) mense / Ep{h}ip(h) die XXIX / Alex(andriae) ad Aeg(yptum) / descriptum et r[ecog]nitum ex tabu/la professionum quibus liberi / nati sunt quae tabula proposita / erat in [a]trio magno in qua sc[ri]/ptum erat id quod infra script(um) est / L(ucius) Iulius Vestinus praef(ectus) Aeg(ypti) // quibus] / liberi nati sunt quae tabula / proposita erat in atrio magno / in qua scriptum erat id quod in/fra scriptum est / L(ucius) Iulius Vestinus praef(ectus) Aeg/[ypti] nomina eorum qui e lege Pap(ia) / [P]opp(aea) et Aelia Sentia liberos apud / [3] natos sibi professi sunt proposu(it) / P(ublio) Mario L(ucio) Afinio Gallo co(n)s(ulibus) / XV K(alendas) Augustas / L(ucius) Valerius L(uci) f(ilius) Pol(lia) Crispus HS CCCLXXV / [3] filium natum L(ucium) Valerium / L(uci) f(ilium) Pol(lia) Crispum ex Domitia L(uci) f(ilia) / Paulla III K(alendas) Iulias q(uae) p(roximae) f(uerunt) / [c(ivem?)] R(omanum) [e(xscripsi?)] a(d) K(alendarium?) // P(ublio) Mario L(ucio) Afinio Gallo co(n)s(ulibus) / X K(alendas) Augustas / anno VIII Neronis Claudi Caesaris Augusti Germanici Imp(eratoris) mense / Ep{h}ip(h) die XXIX / Alex(andriae) ad Aeg(yptum) / descriptum et recognitum ex tabu/la professionum quibus liberi / nati sunt quae tabula proposita / erat in [a]trio magno in qua scri/ptum erat id quod infra script[um est] / L(ucius) Iulius Vestinus praef(ectus) Aeg(ypti) // [,62,62,Augusti/Augustae;  leges;  mulieres;  ordo equester;  tria nomina;  viri
5,350,EDCS-15200061,Aegyptus,Al Bahnasa / El-Behnesa / Per-Medjed / Pemze / Oxyrhynchus,28.5351208,30.6619577,Mense Phamenoth die XXI [3] / apud C(aium) Do[mi]tium Philippum pr[aefectum Aegypti] / L(ucius) Aureli[us] Theodorus profes[sus est filium sibi] / natum es[se] L(ucium) Aurelium Ammo[3 ex] / Valeria I[ul]ia uxore Non(is) Ia[nuariis 3 Vettio] / Sabino Se[io] Venusto co(n)s(ulibus) // Exemplum subscrip[tionis] / acc(eptum) XVI Kal(endas) April(es) A[ttico Sabiniano Lepido Prae]/textato co(n)s(ulibus) recogn[ovi],240,242,leges;  mulieres;  ordo equester;  tria nomina;  viri
6,453,EDCS-16200742,Aegyptus,Jirzah / Gharabet el-Gerza / Gerze / Philadelphia,29.446389,31.208333,A(ulo) Corn[elio Palma Frontoni]ano II P(ublio) Calvisio Tullo / co(n)s(ulibus) [pr(idie)] K(alendas) Iu[l(ias) anno XII Imp(eratoris) Ca]es(aris) Ner(vae) Traiani / [Au]g(usti) Ge[r(manici) Dacici mense] Ephip die VI / [Alex(andriae) ad Aeg(yptum) descriptum] et recognitum / [ex] tabula a[lbi professionum] quibus libe/[r]i nati sunt q[uae] proposita erat / [i]n atrio magn[o in qua scri]ptum fuit id / [q]uod infra scrip[tum est] Appio Annio / [Gallo M(arco) Atilio Br]adua co(n)s(ulibus) anno XII / [Imp(eratoris) Caes(aris) Ner(vae) Traian]i Aug(usti) Ger(manici) Dacici / [S(exto) Sulpicio Simili prae]f(ecto) Aeg(ypti) professio/nes l[i]berorum acceptae citra causarum / cognitionem tabu(la) I item pagina II / A(ulo) Cornelio Palma Frontoniano [II P(ublio) Calvisio Tullo] / Rusone co(n)s(ulibus) V K(alendas) Iulias IICD / L(ucius) S[e]ntius Sat[u]rninus fil[ium] e Gall[i]a Char[it]e / L(uci) f(ilius) Pollia / M(arcum) Sentium Aquilam [K]resonem / V Idus Iunias q(uae) p(roximae) f(uerunt) S(exto) [Su]lpicio Simi[li praef(ecto) Aeg(ypti)],109,109,leges;  mulieres;  ordo equester;  tria nomina;  viri
7,455,EDCS-16200740,Aegyptus,Jirzah / Gharabet el-Gerza / Gerze / Philadelphia,29.446389,31.208333,M(arco) Ponti[o] Laeliano A(ulo) Iunio Past[ore c]o(n)s(ulibus) X K(alendas) Dec(embres) / anno IIII Imp(eratoris) Caesaris M(arci) Aur[e]li A[n]tonini / Aug(usti) et Imp(eratoris) Caesaris L(uci) Aure[l]i Veri Aug(usti) / mense Ath[y]r die XXV Alex(andriae) ad Aeg(yptos) / descri&lt;p=B&gt;tum et recognitum ex tabula profes/sion&lt;i=E&gt;s liberi nati sunt quae proposita erat / in atrio mag(no) in q(ua) s(criptum) f(uit) id q(uod) i(nfra) s(criptum) est / M(arco) Pontio Laeliano A(ulo) Iunio Pastore co(n)s(ulibus) ann[o] III / Imp(eratoris) Caesaris M(arci) Aureli Antonini Aug(usti) et / Imp(eratoris) Caesaris L(uci) Aureli Veri Aug(usti) M(arco) Annio / [Suriaco] praef(ecto) Aeg(ypti) professiones liberor(um) / a[ccept]ae ci[t]ra causarum cogni[tio](nem) / tabul(a) IIII pag(ina) V V Id(us) Aug(ustas) / M(arcus) Lucretius Octavianus abs(ens) per HS CCCC / P(ublium) Cornelium Bassum f(ilium) n(atum) M(arcum) Lucreti/um Numisianum ex Iulia Cuaiane / XIIII Kal(endas) Aug(ustas) [q(uae)] p(roximae) f(uerunt) domicil(io) Iul(iopoli) / Aeg(ypto) cre(scentes) ad K(alendas),163,163,leges;  mulieres;  ordo equester;  tria nomina;  viri
8,457,EDCS-16200743,Aegyptus,Jirzah / Gharabet el-Gerza / Gerze / Philadelphia,29.446389,31.208333,L(ucio) Lolliano Avito T(ito) Statilio Maximo co(n)s(ulibus) Idib(us) / Octob(ribus) anno VIII Imp(eratoris) Caesaris Titi Aeli / Hadriani{ani} Antonini Aug(usti) Pii mense / Phaophi die XVIII Alex(andriae) ad Aeg(yptum) / descriptum et recognitum ex tabula albi / professionum quibus liberi nati sunt / quae proposita erat in atrio magno in qua / scriptum fuit id quod infra scriptum est / L(ucio) Lolliano Avito T(ito) Statilio Maximo co(n)s(ulibus) anno VII / Imp(eratoris) Caesaris Titi Aeli Hadriani Antonini / Aug(usti) Pii{ia} L(ucio) Valerio Proculo praef(ecto) Aeg(ypti) / professiones liberorum acceptae citra cau/sarum cognitionem tab(ula) II et post alia / pag(ina) II item anno VIII Imp(eratoris) Antonini{ni} domi/ni n(ostri) isdem co(n)s(ulibus) item pag(ina) III Idibus Septembr(ibus) / M(arcus) Valerius Turbo filium natum ⟦SSBI⟧ / M(arcum) Valerium Maximum ex Antonia / Casullute XV Kal(endas) Septembr(es) / q(uae) p(roximae) f(uerunt) cre(scentes) ad K(alendas),144,144,Augusti/Augustae;  leges;  mulieres;  ordo equester;  ordo senatorius;  tria nomina;  viri
9,857,EDCS-20402503,Aemilia / Regio VIII,Parma,44.8014974,10.3280239,] / praef(ecto) leg(ionis) XX Valer(iae) / Victr(icis) primo p(ilo) leg(ionis) / X Geminae Piae Fidel(is) / cent(urioni) legion(um) IIII Scy/thic(ae) XI Claud(iae) XIIII Gemin(ae) / VII Gemin(ae) / patr(ono) col(oniae) Iul(iae) Aug(ustae) Parm(ensis) / patr(ono) municipiorum / Forodruent(inorum) et Foro/novanor(um) patr(ono) col/legior(um) fabr(um) et cent(onariorum) et / dendrophor(orum) Parmens(ium) / colleg(ium) cent(onariorum) merenti / [,101,200,milites;  officium/professio;  ordo equester;  tituli honorarii;  viri
