Begriff,Anzahl_Gesamt,Anzahl_Auswahl,Differenz,Verhältnis,
incomparabil,146,116,30,"0,794520547945205",
pi(us|a|um),2955,1041,1914,"0,352284263959391",
pientissim,934,764,170,"0,817987152034261",
obsequen,30,21,9,"0,7",
dulcis,1431,1038,393,"0,725366876310273",
carissim,817,583,234,"0,71358629130967",
puden,235,73,162,"0,31063829787234",
cast(us|a|um),141,62,79,"0,439716312056738",
rarissim,137,98,39,"0,715328467153285",
felix,1065,350,715,"0,328638497652582",
clarissim,9,5,4,"0,555555555555556",
luct,35,26,9,"0,742857142857143",
fortis,89,34,55,"0,382022471910112",
honest,121,60,61,"0,495867768595041",
modest,288,108,180,"0,375",
moderat,51,14,37,"0,274509803921569",
sollicit,14,9,5,"0,642857142857143",
secur,107,54,53,"0,504672897196262",
anxi,7,1,6,"0,142857142857143",
studios,13,6,7,"0,461538461538462",
beat,57,34,23,"0,596491228070175",
laet,281,95,186,"0,338078291814947",
fid(us|a|um),57,28,29,"0,491228070175439",
placid,118,45,73,"0,38135593220339",
clemen,408,161,247,"0,394607843137255",
integ(er|ra|rum),7,5,2,"0,714285714285714",
prudens,17,7,10,"0,411764705882353",
amabil,57,26,31,"0,456140350877193",
amat,117,42,75,"0,358974358974359",
aman,307,118,189,"0,384364820846906",
prob(us|a|um),238,96,142,"0,403361344537815",
frugi,62,16,46,"0,258064516129032",
pulch(er|ra|rum),22,6,16,"0,272727272727273",
lepid,166,47,119,"0,283132530120482",
laetitia gaudens,0,0,0,#DIV/0!,
virtus,0,0,0,#DIV/0!,
fructusque recte,0,0,0,#DIV/0!,
(fatum acerbum|acerbo fato),0,0,0,#DIV/0!,
dolor,71,52,19,"0,732394366197183",
in maeribus,0,0,0,#DIV/0!,
flet,25,20,5,"0,8",
lacrim,32,23,9,"0,71875",
dolens,9,4,5,"0,444444444444444",
flevit,5,4,1,"0,8",
hono(r|s|ratum),703,247,456,"0,351351351351351",
optim(us|a),307,222,85,"0,723127035830619",
mer(ens|itus|enti|erentissima),2661,1442,1219,"0,541901540774145",
sapien,6,4,2,"0,666666666666667",
form(us|a|um),48,20,28,"0,416666666666667",
exemplum,17,11,6,"0,647058823529412",
desideri(us|um),3,1,2,"0,333333333333333",
sine querella,16,15,1,"0,9375",
studio parili,0,0,0,#DIV/0!,
mellitissim,0,0,0,#DIV/0!,
tristia,6,5,1,"0,833333333333333",
dign(us|a|um),83,38,45,"0,457831325301205",
adfect,36,31,5,"0,861111111111111",
suav(is|e),76,21,55,"0,276315789473684",
nat(us|a),1804,651,1153,"0,360864745011086",
miser,179,126,53,"0,70391061452514",
amoen,52,15,37,"0,288461538461538",
simplex,13,8,5,"0,615384615384615",
desert(us|a|um),7,5,2,"0,714285714285714",
iucund,422,138,284,"0,327014218009479",
sanct(us|a|um|issim),400,252,148,"0,63",
,,,,,
mat(er|ri|rum|re),3180,1156,2024,"0,363522012578616",
pat(er|ri|rum|re),3101,1129,1972,"0,364076104482425",
frat(er|ri|rum|re),1357,434,923,"0,319823139277819",
soror,609,222,387,"0,364532019704434",
noverca,0,0,0,#DIV/0!,
privign,21,8,13,"0,380952380952381",
amita,10,3,7,"0,3",
nurr,0,0,0,#DIV/0!,
filia,1760,749,1011,"0,425568181818182",
fili(us|i|o|um),3176,1302,1874,"0,409949622166247",
nepo(s|ti|te|tum),505,164,341,"0,324752475247525",
\savia,153,52,101,"0,339869281045752",
\sav(us|i|o|um)\s,47,15,32,"0,319148936170213",
avuncul,11,1,10,"0,0909090909090909",
patru(us|i|o|um),26,7,19,"0,269230769230769",
\sgener(\s|i\s|o\s|um\s),54,22,32,"0,407407407407407",
\snur(us|ui|um|u)\s,10,4,6,"0,4",
\suxor,1707,554,1153,"0,324545987111892",
\smarit(us|i|o|um),636,285,351,"0,44811320754717",
\smarita,37,23,14,"0,621621621621622",
\sconiu(n?)(x|gi),4007,1939,2068,"0,483903169453456",
concubina,47,9,38,"0,191489361702128",
contubernal(|i|e),196,98,98,"0,5",
\sparen(s|ti|te|tum),1102,532,570,"0,482758620689655",
socer,43,18,25,"0,418604651162791",
\sconiugi(um|i|o|a|orum|is)\s,12,9,3,"0,75",
\sconubi,39,28,11,"0,717948717948718",
\smatrimoni,9,8,1,"0,888888888888889",
,,,,,
,39375,17315,,"0,439746031746032","0,485996528872617"
